algo,qps,mean_ltc_ns,ltc_999_ns,Graph_IO,Emb_IO,Ext_Cmp,PQ_Cmp,Pre_T,Disp_T,Read_T,Page_T,Cache_T,DiskN_T,Post_T,Mem_MB,recall_pct,recall,mean_latency_ms
DiskANN,16279.65,1925.0,5851.0,32.6,0.0,32.6,4172.93,0.03,0.02,1490.27,0.0,0.0,373.17,1.13,2513.0,50.76,50.75999999999999,0.001925
DiskANN,14454.06,2173.0,4083.0,41.69,0.0,41.69,5336.42,0.0,0.07,1648.7,0.0,0.03,452.25,1.51,2513.0,64.27,64.27,0.002173
DiskANN,10193.81,3023.0,8797.0,59.97,0.0,59.97,7676.6,0.01,0.1,2261.45,0.0,0.03,665.02,2.15,2521.0,77.32,77.32,0.003023
DiskANN,6701.64,4707.0,6854.0,98.51,0.0,98.51,12609.7,0.01,0.26,3454.02,0.0,0.04,1099.9,3.3,2525.0,87.7,87.7,0.004707
DiskANN,4813.0,6538.0,9083.0,137.74,0.0,137.74,17630.96,0.0,0.4,4788.49,0.0,0.08,1552.85,4.83,2527.0,91.74,91.74,0.006538
DiskANN,3683.66,8564.0,15845.0,177.16,0.0,177.16,22676.64,0.01,0.57,6071.11,0.0,0.11,2213.33,6.26,2543.0,94.01,94.01,0.008564
DiskANN,2537.67,12458.0,21253.0,256.53,0.0,256.53,32835.66,0.01,1.18,8702.41,0.0,0.19,3377.38,9.53,2543.0,96.33,96.33,0.012458
DiskANN,1898.58,16620.0,19716.0,336.08,0.0,336.08,43017.67,0.02,1.81,11198.16,0.0,0.2,4892.68,12.9,2582.0,97.3,97.3,0.01662
DiskANN,951.38,33248.0,47477.0,655.2,0.0,655.2,83865.34,0.01,7.59,21471.78,0.0,0.49,10777.88,26.83,2610.0,98.66,98.66,0.033248
DiskANN,592.44,53383.0,70238.0,1014.7,0.0,1014.70129881,34.0,0.06,27.08,32793.2,0.0,0.61,18871.53,43.46,2662.0,99.12,99.12,0.053383
DiskANN,395.79,79781.0,121400.0,1514.2,0.0,1514.20193817,8.0,0.02,227.42,48740.97,0.0,0.92,28250.08,70.88,2742.0,99.44,99.44,0.079781
DiskANN,283.57,111505.0,190354.0,2013.88,0.0,2013.88257776,72.0,0.08,778.58,63944.03,0.0,0.94,43382.67,96.99,2798.0,99.62,99.62,0.111505
Gorgeous,27940.93,1050.0,4608.0,21.31,0.48,21.79,2404.1,47.4,0.72,703.28,0.0,3.53,179.54,72.05,2374.0,51.61,51.61,0.00105
Gorgeous,21498.28,1384.0,5973.0,29.34,0.46,29.79,3229.74,61.01,0.35,898.04,0.0,5.74,270.72,82.44,2374.0,63.14,63.13999999999999,0.001384
Gorgeous,15263.29,2055.0,5606.0,45.2,0.86,46.06,4869.48,62.18,0.51,1362.89,0.0,13.3,404.59,120.39,2374.0,75.09,75.09,0.002055
Gorgeous,8769.21,3582.0,10918.0,78.54,2.27,80.81,8175.68,66.78,0.96,2428.09,0.0,30.63,689.73,210.82,2379.0,85.23,85.23,0.003582
Gorgeous,6273.62,5013.0,9926.0,112.13,3.91,116.04,11131.21,67.78,2.09,3449.39,0.0,52.64,969.61,261.1,2382.0,89.68,89.68,0.005013
Gorgeous,4793.68,6579.0,13778.0,145.64,5.73,151.37,13882.23,73.26,6.67,4529.43,0.0,76.66,1270.71,337.82,2404.0,92.2,92.2,0.006579
Gorgeous,3209.02,9837.0,17862.0,211.65,9.69,221.34,19111.19,68.56,17.41,7130.68,0.0,119.08,1701.85,422.96,2411.0,94.72,94.72,0.009837
Gorgeous,2430.57,13002.0,28963.0,276.83,14.19,291.02,24060.9,70.8,35.29,9219.82,0.0,179.39,2435.26,561.25,2433.0,95.93,95.93,0.013002
Gorgeous,1296.98,24329.0,41039.0,530.13,34.91,565.04,41891.81,71.57,109.48,17867.16,0.0,390.03,4136.05,841.22,2491.0,97.78,97.78,0.024329
Gorgeous,842.78,37460.0,53716.0,805.9,61.68,867.58,59594.22,78.13,227.5,27443.61,0.0,680.01,6401.03,1202.8,2567.0,98.57,98.57,0.03746
