algo,qps,mean_ltc_ns,ltc_999_ns,Graph_IO,Emb_IO,Ext_Cmp,PQ_Cmp,Pre_T,Disp_T,Read_T,Page_T,Cache_T,DiskN_T,Post_T,Mem_MB,recall_pct,recall,mean_latency_ms
DiskANN,444.23,71641.0,1601803.0,32.6,0.0,32.6,4172.93,0.03,0.02,71155.32,0.0,0.01,425.92,1.11,2513.0,50.76,50.75999999999999,0.071641
DiskANN,290.04,108218.0,599681.0,34.52,0.0,34.52,4417.96,0.0,0.0210769,52.0,0.0,0.0,464.61,1.2,2511.0,54.47,54.47,0.108218
DiskANN,275.72,97279.0,1780018.0,36.24,0.0,36.24,4638.96,0.02,0.02,96656.99,0.0,0.0,556.68,1.28,2513.0,57.08,57.08,0.097279
DiskANN,262.55,110548.0,2109850.0,38.09,0.0,38.09,4875.49,0.0,0.03109976,63.0,0.0,0.01,504.72,1.24,2513.0,59.97,59.97,0.110548
DiskANN,251.42,122630.0,1419269.0,39.86,0.0,39.86,5102.5,0.0,0.02122016,14.0,0.0,0.01,544.77,1.37,2513.0,62.24,62.24000000000001,0.12263
DiskANN,239.89,117418.0,3026938.0,41.69,0.0,41.69,5336.42,0.0,0.02116766,71.0,0.0,0.01,578.45,1.6,2511.0,64.27,64.27,0.117418
DiskANN,230.38,119282.0,2682011.0,43.45,0.0,43.45,5561.6,0.01,0.04118548,99.0,0.0,0.0,658.37,1.66,2511.0,66.19,66.19,0.119282
DiskANN,220.91,129787.0,3066033.0,45.23,0.0,45.23,5789.52,0.0,0.04129038,58.0,0.0,0.0,672.01,1.81,2511.0,67.65,67.65,0.129787
DiskANN,212.85,127446.0,2675714.0,47.02,0.0,47.02,6018.74,0.0,0.03126715,13.0,0.0,0.02,652.89,1.82,2513.0,69.08,69.08,0.127446
DiskANN,204.63,149989.0,1489847.0,48.9,0.0,48.9,6259.46,0.01,0.06149112,56.0,0.0,0.01,796.58,1.92,2513.0,70.87,70.87,0.149989
DiskANN,197.32,148942.0,1739720.0,50.65,0.0,50.65,6483.46,0.01,0.0314815,25.0,0.0,0.02,707.68,2.0,2512.0,72.14,72.14,0.148942
DiskANN,190.39,151878.0,3299389.0,52.54,0.0,52.54,6725.62,0.0,0.05151055,35.0,0.0,0.02,736.61,2.03,2515.0,73.21,73.21,0.151878
DiskANN,183.7,144945.0,3274883.0,54.43,0.0,54.43,6967.51,0.0,0.07143941,88.0,0.0,0.01,915.12,2.09,2516.0,74.41,74.41,0.144945
DiskANN,177.54,149196.0,3269375.0,56.32,0.0,56.32,7208.88,0.01,0.03148252,63.0,0.0,0.01,851.91,2.09,2516.0,75.52,75.52,0.149196
DiskANN,172.32,154470.0,3570048.0,58.08,0.0,58.08,7434.84,0.0,0.04153462,43.0,0.0,0.02,909.72,2.16,2518.0,76.45,76.45,0.15447
DiskANN,166.92,174305.0,2872703.0,59.97,0.0,59.97,7676.6,0.0,0.06173342,7.0,0.0,0.02,862.42,2.17,2523.0,77.32,77.32,0.174305
DiskANN,144.01,217382.0,588036.0,69.46,0.0,69.46,8891.3,0.02,0.07216198,87.0,0.0,0.04,1065.55,2.61,2524.0,81.07,81.07,0.217382
DiskANN,126.49,218792.0,5288771.0,79.12,0.0,79.12,10126.89,0.01,0.12217452,75.0,0.0,0.04,1210.38,2.99,2524.0,83.87,83.87,0.218792
DiskANN,112.88,281631.0,2709961.0,88.61,0.0,88.61,11342.24,0.09,0.12280192,19.0,0.0,0.03,1300.07,3.2,2526.0,85.91,85.91,0.281631
DiskANN,101.53,313118.0,590218.0,98.51,0.0,98.51,12609.7,0.01,0.17311207,75.0,0.0,0.03,1753.35,3.76,2524.0,87.7,87.7,0.313118
DiskANN,92.51,302376.0,5053216.0,108.12,0.0,108.12,13839.02,0.0,0.12300467,37.0,0.0,0.01,1747.54,3.93,2526.0,88.99,88.99,0.302376
DiskANN,84.77,343233.0,4330021.0,118.02,0.0,118.02,15107.13,0.01,0.21341247,4.0,0.0,0.01,1812.57,4.47,2524.0,89.96,89.96,0.343233
DiskANN,72.64,358761.0,8153878.0,137.74,0.0,137.74,17630.96,0.0,0.20356454,7.0,0.0,0.03,2116.05,5.04,2530.0,91.74,91.74,0.358761
DiskANN,63.56,499402.0,2118960.0,157.4,0.0,157.4,20147.72,0.01,0.33496223,28.0,0.0,0.06,2924.91,6.12,2542.0,92.99,92.99,0.499402
DiskANN,56.46,542213.0,3377499.0,177.16,0.0,177.16,22676.64,0.03,0.22538992,14.0,0.0,0.06,2948.19,6.72,2546.0,94.01,94.01,0.542213
DiskANN,50.78,623795.0,5990948.0,196.98,0.0,196.98,25213.26,0.0,0.47620143,2.0,0.0,0.06,3350.52,7.38,2543.0,94.66,94.66,0.623795
DiskANN,46.13,670944.0,10805090.0,216.8,0.0,216.8,27750.79,0.0,0.5066667,37.0,0.0,0.07,3955.58,8.08,2546.0,95.19,95.19,0.670944
DiskANN,42.26,670394.0,9536898.0,236.66,0.0,236.66,30292.51,0.0,0.83666005,76.0,0.0,0.07,4045.93,8.83,2546.0,95.86,95.86,0.670394
DiskANN,38.99,742378.0,14012751.0,256.53,0.0,256.53,32835.66,0.02,0.6373789,13.0,0.0,0.07,4126.0,9.69,2546.0,96.33,96.33,0.742378
