algo,qps,mean_ltc_ns,ltc_999_ns,Graph_IO,Emb_IO,Ext_Cmp,PQ_Cmp,Pre_T,Disp_T,Read_T,Page_T,Cache_T,DiskN_T,Post_T,Mem_MB,recall_pct,recall,mean_latency_ms
DiskANN,4937.8,6351.0,11934.0,27.99,0.0,27.99,3582.56,0.06,0.01,5122.72,0.0,0.0,1148.3,1.08,10733.0,81.56,81.56,0.006351
DiskANN,4875.2,6410.0,12316.0,29.76,0.0,29.76,3809.31,0.07,0.01,5140.27,0.0,0.0,1189.92,1.04,10733.0,86.96,86.96,0.00641
DiskANN,4766.14,6558.0,12248.0,31.49,0.0,31.49,4031.22,0.04,0.01,5263.9,0.0,0.01,1211.11,1.06,10736.0,89.9,89.9,0.006558
DiskANN,4419.84,7107.0,14147.0,33.37,0.0,33.37,4271.41,0.05,0.0,5717.26,0.0,0.01,1304.54,1.07,10736.0,91.91,91.91,0.007107
DiskANN,4349.63,7154.0,13436.0,35.18,0.0,35.18,4503.25,0.06,0.03,5699.64,0.0,0.01,1366.87,1.13,10736.0,93.29,93.29,0.007154
DiskANN,4037.98,7779.0,13417.0,37.08,0.0,37.08,4746.71,0.04,0.02,6262.21,0.0,0.0,1427.39,1.14,10736.0,94.48,94.48,0.007779
DiskANN,3807.52,8203.0,18905.0,38.95,0.0,38.95,4985.47,0.09,0.03,6568.04,0.0,0.01,1543.07,1.24,10736.0,95.15,95.15,0.008203
DiskANN,3687.6,8548.0,17137.0,40.81,0.0,40.81,5223.57,0.08,0.04,6794.97,0.0,0.01,1658.71,1.37,10736.0,95.6,95.6,0.008548
DiskANN,3585.75,8779.0,18247.0,44.58,0.0,44.58,5706.58,0.06,0.04,7062.36,0.0,0.01,1619.6,1.43,10736.0,96.23,96.23,0.008779
DiskANN,3522.54,8929.0,17072.0,46.45,0.0,46.45,5945.21,0.06,0.05,7177.53,0.0,0.03,1648.43,1.56,10736.0,96.45,96.45,0.008929
DiskANN,3316.45,9489.0,17623.0,48.34,0.0,48.34,6188.15,0.07,0.07,7567.92,0.0,0.01,1816.75,1.67,10736.0,96.58,96.58,0.009489
DiskANN,3094.68,10156.0,21440.0,50.31,0.0,50.31,6439.18,0.07,0.05,8181.37,0.0,0.02,1872.33,1.78,10736.0,96.91,96.91,0.010156
DiskANN,3005.07,10485.0,20734.0,52.3,0.0,52.3,6694.01,0.09,0.05,8529.97,0.0,0.02,1850.62,1.86,10736.0,97.11,97.11,0.010485
DiskANN,2792.41,11267.0,20159.0,54.19,0.0,54.19,6936.68,0.08,0.09,9155.12,0.0,0.02,2004.38,1.94,10736.0,97.22,97.22,0.011267
DiskANN,2574.0,12218.0,21621.0,56.14,0.0,56.14,7186.15,0.1,0.06,9891.86,0.0,0.0,2216.74,1.98,10738.0,97.29,97.29,0.012218
DiskANN,2229.61,14107.0,26467.0,65.81,0.0,65.81,8423.44,0.09,0.08,11373.43,0.0,0.01,2614.4,2.15,10738.0,97.58,97.58,0.014107
DiskANN,2032.56,15476.0,29146.0,75.56,0.0,75.56,9671.05,0.09,0.11,12401.33,0.0,0.03,2945.28,2.47,10740.0,97.76,97.76,0.015476
DiskANN,1789.93,17572.0,26914.0,85.32,0.0,85.32,10920.62,0.13,0.12,14065.06,0.0,0.01,3362.38,2.91,10742.0,97.96,97.96,0.017572
DiskANN,1628.94,19411.0,29129.0,95.18,0.0,95.18,12182.46,0.13,0.14,15469.89,0.0,0.01,3782.69,3.21,10745.0,98.01,98.01,0.019411
DiskANN,1563.66,20153.0,29265.0,104.92,0.0,104.92,13430.33,0.1,0.17,16358.89,0.0,0.07,3625.16,3.43,10745.0,98.11,98.11,0.020153
