algo,qps,mean_ltc_ns,ltc_999_ns,Graph_IO,Emb_IO,Ext_Cmp,PQ_Cmp,Pre_T,Disp_T,Read_T,Page_T,Cache_T,DiskN_T,Post_T,Mem_MB,recall_pct,recall,mean_latency_ms
DiskANN,15533.4,1992.0,4452.0,27.99,0.0,27.99,3582.56,0.09,0.02,1045.04,0.0,0.01,868.75,1.13,10731.0,81.56,81.56,0.001992
DiskANN,13058.16,2389.0,4621.0,37.08,0.0,37.08,4746.71,0.05,0.04,1208.57,0.0,0.0,1092.66,1.39,10731.0,94.48,94.48,0.002389
DiskANN,9113.74,3416.0,6142.0,56.14,0.0,56.14,7186.15,0.07,0.06,1735.92,0.0,0.02,1573.65,2.08,10732.0,97.29,97.29,0.003416
DiskANN,5710.51,5488.0,8774.0,95.18,0.0,95.18,12182.46,0.08,0.1,2806.88,0.0,0.02,2527.89,3.18,10742.0,98.01,98.01,0.005488
DiskANN,4083.5,7691.0,14224.0,134.53,0.0,134.53,17219.26,0.06,0.21,3908.16,0.0,0.06,3586.95,4.5,10742.0,98.28,98.28,0.007691
DiskANN,3142.21,9948.0,16029.0,174.18,0.0,174.18,22294.46,0.09,0.45,5020.4,0.0,0.06,4688.35,5.94,10749.0,98.45,98.45,0.009948
DiskANN,1648.48,18961.0,31779.0,333.28,0.0,333.28,42660.18,0.1,1.27,9533.47,0.0,0.16,9006.01,11.68,10763.0,98.52,98.52,0.018961
DiskANN,828.12,38132.0,65179.0,652.88,0.0,652.88,83568.59,0.17,7.38,18640.78,0.0,0.33,18652.57,24.62,10802.0,98.7,98.7,0.038132
DiskANN,529.92,59660.0,90808.0,1012.3,0.0,1012.30129574,92.0,0.22,20.98,28528.34,0.0,0.62,29764.94,39.8,10838.0,98.73,98.73,0.05966
DiskANN,345.81,91131.0,137506.0,1511.77,0.0,1511.77193506,9.0,0.9,138.91,42317.9,0.0,0.87,46510.54,65.47,10878.0,98.78,98.78,0.091131
DiskANN,261.2,120259.0,154370.0,2011.31,0.0,2011.31257447,84.0,0.8,661.84,56179.78,0.0,1.1,60763.47,89.14,10910.0,98.79,98.79,0.120259
MARGO,21335.14,1383.1,3099.0,18.86,,,,,,,,,,,10901.0,81.9,81.9,0.0013831
MARGO,18104.36,1635.11,3292.0,28.18,,,,,,,,,,,10902.0,85.06,85.06,0.00163511
MARGO,15985.94,1876.49,4458.0,27.79,,,,,,,,,,,10901.0,93.86,93.86,0.00187649
MARGO,14944.26,1935.61,4423.0,35.97,,,,,,,,,,,10902.0,94.55,94.55,0.00193561
MARGO,13242.83,2273.8,4687.0,44.74,,,,,,,,,,,10886.0,96.59,96.59,0.0022738
MARGO,9689.74,3120.01,6819.0,63.35,,,,,,,,,,,10902.0,97.74,97.74,0.00312001
MARGO,7130.92,4303.78,8251.0,92.13,,,,,,,,,,,10902.0,97.99,97.99,0.00430378
MARGO,6109.42,5031.15,8632.0,111.45,,,,,,,,,,,10902.0,98.16,98.16,0.00503115
MARGO,5297.13,5803.2,15791.0,131.04,,,,,,,,,,,10902.0,98.26,98.26,0.0058032
MARGO,4670.34,6650.59,13994.0,125.42,,,,,,,,,,,10901.0,98.29,98.29,0.00665059
MARGO,4259.33,7270.91,18247.0,170.41,,,,,,,,,,,10905.0,98.35,98.35,0.00727091
MARGO,2972.45,10391.15,19645.0,249.64,,,,,,,,,,,10921.0,98.53,98.53,0.01039115
MARGO,2273.36,13654.13,23344.0,329.13,,,,,,,,,,,10921.0,98.67,98.67,0.0136541299999999
MARGO,1848.82,16776.45,25872.0,324.38,,,,,,,,,,,10918.0,98.71,98.71,0.01677645
MARGO,1476.07,20953.3,30761.0,508.55,,,,,,,,,,,10951.0,98.77,98.77,0.0209532999999999
MARGO,731.9,42665.24,72275.0,1007.58,,,,,,,,,,,10995.0,98.82,98.82,0.04266524
MARGO,486.44,63812.68,99130.0,1506.97,,,,,,,,,,,11035.0,98.84,98.84,0.06381268
MARGO,368.07,84944.4,124473.0,2006.49,,,,,,,,,,,11051.0,98.86,98.86,0.0849443999999999
PipeANN,25649.59,1158.72,2408.0,23.7,,,,,,,,,,,,78.77,78.77,0.00115872
