algo,qps,mean_ltc_ns,ltc_999_ns,Graph_IO,Emb_IO,Ext_Cmp,PQ_Cmp,Pre_T,Disp_T,Read_T,Page_T,Cache_T,DiskN_T,Post_T,Mem_MB,recall_pct,recall,mean_latency_ms
DiskANN,557.76,56884.0,1139824.0,27.99,0.0,27.99,3582.56,0.07,0.07,55721.16,0.0,0.01,1083.21,1.07,10733.0,81.56,81.56,0.056884
DiskANN,336.7,83129.0,2000508.0,29.76,0.0,29.76,3809.31,0.04,0.0,81935.09,0.0,0.01,1116.29,1.03,10735.0,86.96,86.96,0.083129
DiskANN,317.73,87377.0,2279221.0,31.49,0.0,31.49,4031.22,0.05,0.02,86042.0,0.0,0.01,1253.17,1.06,10736.0,89.9,89.9,0.087377
DiskANN,299.65,83319.0,2635274.0,33.37,0.0,33.37,4271.41,0.04,0.01,81883.45,0.0,0.0,1351.25,1.07,10737.0,91.91,91.91,0.083319
DiskANN,284.13,88463.0,2279942.0,35.18,0.0,35.18,4503.25,0.07,0.02,86984.79,0.0,0.0,1392.46,1.18,10737.0,93.29,93.29,0.088463
DiskANN,270.07,103637.0,2848266.0,37.08,0.0,37.08,4746.71,0.03,0.01102076,62.0,0.0,0.0,1472.68,1.15,10737.0,94.48,94.48,0.103637
DiskANN,256.48,107237.0,2704097.0,38.95,0.0,38.95,4985.47,0.05,0.0510563,5.0,0.0,0.01,1517.19,1.25,10737.0,95.15,95.15,0.107237
DiskANN,245.36,121074.0,2563680.0,40.81,0.0,40.81,5223.57,0.03,0.01119387,29.0,0.0,0.0,1595.16,1.29,10737.0,95.6,95.6,0.121074
DiskANN,234.37,128008.0,2329749.0,42.67,0.0,42.67,5462.2,0.04,0.02126173,78.0,0.0,0.0,1740.67,1.42,10737.0,95.89,95.89,0.128008
DiskANN,224.43,124144.0,2862214.0,44.58,0.0,44.58,5706.58,0.04,0.01122187,23.0,0.0,0.0,1861.48,1.45,10737.0,96.23,96.23,0.124144
DiskANN,215.48,130565.0,2769927.0,46.45,0.0,46.45,5945.21,0.02,0.02128597,90.0,0.0,0.01,1868.93,1.71,10737.0,96.45,96.45,0.130565
DiskANN,178.1,155491.0,3479831.0,56.14,0.0,56.14,7186.15,0.05,0.04153097,5.0,0.0,0.02,2286.75,1.98,10737.0,97.29,97.29,0.155491
