algo,qps,mean_ltc_ns,ltc_999_ns,Graph_IO,Emb_IO,Ext_Cmp,PQ_Cmp,Pre_T,Disp_T,Read_T,Page_T,Cache_T,DiskN_T,Post_T,Mem_MB,recall_pct,recall,mean_latency_ms
DiskANN,6692.95,17314.0,44045.0,52.29,0.0,52.29,6693.36,0.65,0.11,14938.93,0.0,0.03,2129.09,2.23,10260.0,52.11,52.11,0.017314
DiskANN,6440.33,18048.0,34742.0,63.67,0.0,63.67,8149.29,0.06,0.04,15651.36,0.0,0.02,2234.7,2.62,10270.0,58.16,58.16,0.018048
DiskANN,3604.12,33408.0,64470.0,122.18,0.0,122.18,15638.47,0.07,0.28,28726.55,0.0,0.07,4439.52,4.85,10296.0,73.55,73.55,0.033408
DiskANN,1321.67,92043.0,140559.0,319.3,0.0,319.3,40870.14,0.55,5.31,77925.31,0.0,0.17,12938.04,12.81,10357.0,87.22,87.22,0.092043
DiskANN,1031.46,118553.0,188766.0,418.34,0.0,418.34,53548.02,0.24,13.32,99556.17,0.0,0.31,18218.99,17.49,10437.0,89.83,89.83,0.118553
DiskANN,790.53,155721.0,242241.0,517.41,0.0,517.41,66228.11,0.28,20.78132859,20.0,0.0,0.29,21891.68,21.65,10487.0,91.32,91.32,0.155721
DiskANN,703.3,175188.0,244302.0,617.47,0.0,617.47,79035.56,0.22,42.01145781,77.0,0.0,0.34,28207.42,26.14,10491.0,92.46,92.46,0.175188
DiskANN,534.52,230925.0,287162.0,816.5,0.0,816.50104512,0.0,0.26,84.37193278,86.0,0.0,0.41,36081.5,35.33,10551.0,93.86,93.86,0.230925
DiskANN,419.79,295092.0,405347.0,1015.58,0.0,1015.58129994,84.0,0.34,158.18247329,3.0,0.0,0.56,45706.75,45.99,10719.0,94.85,94.85,0.295092
DiskANN,283.53,435862.0,511923.0,1514.72,0.0,1514.72193884,47.0,0.46,705.33364516,53.0,0.0,1.05,67872.29,74.87,10791.0,96.41,96.41,0.435862
DiskANN,206.46,589602.0,744638.0,2014.11,0.0,2014.11257806,24.0,0.87,1540.24492131,43.0,0.0,1.09,92680.82,100.72,11093.0,97.34,97.34,0.589602
MARGO,5932.81,5070.28,13306.0,23.51,,,,,,,,,,,13388.0,58.32,58.32000000000001,0.00507028
MARGO,5525.55,5536.66,16651.0,27.64,,,,,,,,,,,13388.0,66.11,66.11,0.00553666
MARGO,5087.28,5984.97,16503.0,37.15,,,,,,,,,,,13394.0,66.94,66.94,0.00598497
MARGO,5066.94,6075.91,16358.0,29.55,,,,,,,,,,,13389.0,68.22,68.22,0.0060759099999999
MARGO,4870.18,6284.97,17056.0,39.34,,,,,,,,,,,13396.0,69.75,69.75,0.00628497
MARGO,4769.39,6381.27,17056.0,31.71,,,,,,,,,,,13390.0,70.7,70.7,0.00638127
MARGO,4566.26,6600.12,20151.0,41.6,,,,,,,,,,,13397.0,71.84,71.84,0.00660012
MARGO,4468.13,6847.93,16110.0,33.83,,,,,,,,,,,13391.0,72.7,72.7,0.00684793
MARGO,4315.68,7073.62,20899.0,47.5,,,,,,,,,,,13402.0,76.71,76.71,0.00707362
MARGO,4021.64,7586.85,20976.0,51.38,,,,,,,,,,,13402.0,79.1,79.1,0.00758685
MARGO,3769.73,8122.17,18659.0,53.24,,,,,,,,,,,13402.0,80.26,80.26,0.00812217
MARGO,3755.74,8171.73,20787.0,55.1,,,,,,,,,,,13402.0,81.03,81.03,0.00817173
MARGO,3568.55,8611.97,22520.0,57.12,,,,,,,,,,,13402.0,81.89,81.89,0.00861197
MARGO,3485.47,8771.37,23640.0,58.88,,,,,,,,,,,13402.0,82.59,82.59,0.00877137
MARGO,3181.4,9622.14,25331.0,60.55,,,,,,,,,,,13402.0,82.85,82.85,0.00962214
MARGO,3178.97,9631.84,24702.0,64.43,,,,,,,,,,,13402.0,83.95,83.95,0.00963184
MARGO,2979.62,10388.67,22906.0,67.86,,,,,,,,,,,13402.0,84.52,84.52,0.01038867
MARGO,2931.67,10575.35,25788.0,69.76,,,,,,,,,,,13402.0,85.05,85.05,0.01057535
MARGO,2820.22,11017.84,26954.0,71.65,,,,,,,,,,,13402.0,85.3,85.3,0.01101784
MARGO,2654.06,11630.79,26833.0,73.5,,,,,,,,,,,13402.0,85.65,85.65,0.01163079
MARGO,2426.17,12776.89,27207.0,82.75,,,,,,,,,,,13402.0,87.07,87.07,0.0127768899999999
MARGO,2074.78,14810.74,41669.0,92.28,,,,,,,,,,,13402.0,88.22,88.22,0.01481074
MARGO,1993.62,15521.78,32250.0,102.05,,,,,,,,,,,13403.0,89.36,89.36,0.01552178
MARGO,1852.38,16835.54,34388.0,111.49,,,,,,,,,,,13404.0,90.28,90.28,0.01683554
MARGO,1717.4,18173.05,36074.0,121.02,,,,,,,,,,,13407.0,90.92,90.92,0.01817305
MARGO,1596.33,19557.76,43169.0,130.93,,,,,,,,,,,13411.0,91.63,91.63,0.0195577599999999
MARGO,1420.1,22004.44,49949.0,140.58,,,,,,,,,,,13415.0,92.04,92.04,0.02200444
MARGO,1403.94,22219.55,49013.0,150.14,,,,,,,,,,,13418.0,92.49,92.49,0.0222195499999999
MARGO,1369.42,22875.25,42848.0,159.81,,,,,,,,,,,13420.0,92.73,92.73,0.02287525
MARGO,1283.11,24410.06,53215.0,169.68,,,,,,,,,,,13421.0,93.08,93.08,0.02441006
MARGO,1248.94,24972.02,53091.0,179.49,,,,,,,,,,,13421.0,93.34,93.34,0.02497202
MARGO,1134.29,27504.95,59245.0,189.03,,,,,,,,,,,13421.0,93.58,93.58,0.02750495
MARGO,1071.97,29287.33,58245.0,198.57,,,,,,,,,,,13421.0,93.72,93.72,0.02928733
MARGO,1029.53,30481.46,54021.0,218.36,,,,,,,,,,,13421.0,94.11,94.11,0.03048146
MARGO,955.84,32827.47,63007.0,238.14,,,,,,,,,,,13421.0,94.52,94.52,0.03282747
MARGO,870.16,35992.54,66855.0,258.05,,,,,,,,,,,13421.0,94.84,94.84,0.03599254
MARGO,779.19,40150.81,64375.0,277.68,,,,,,,,,,,13421.0,95.12,95.12,0.0401508099999999
MARGO,764.59,40986.88,82230.0,298.21,,,,,,,,,,,13423.0,95.59,95.59,0.0409868799999999
MARGO,732.6,42774.39,82472.0,317.68,,,,,,,,,,,13425.0,95.83,95.83,0.04277439
MARGO,504.93,62276.19,105356.0,416.76,,,,,,,,,,,13444.0,96.66,96.66,0.06227619
MARGO,403.29,77946.24,132151.0,409.98,,,,,,,,,,,13435.0,96.68,96.68,0.07794624
MARGO,346.86,90503.43,155462.0,615.86,,,,,,,,,,,13454.0,97.29,97.29,0.09050343
MARGO,262.2,118680.02,169555.0,816.04,,,,,,,,,,,13490.0,97.85,97.85,0.11868002
MARGO,211.35,147971.81,223271.0,1015.52,,,,,,,,,,,13513.0,98.14,98.14,0.14797181
MARGO,169.45,184663.55,292210.0,1009.36,,,,,,,,,,,13519.0,98.15,98.15,0.1846635499999999
MARGO,143.38,218867.2,299520.0,1514.61,,,,,,,,,,,13517.0,98.51,98.51,0.2188672
MARGO,111.61,280722.2,362970.0,1508.76,,,,,,,,,,,13523.0,98.52,98.52,0.2807222
PipeANN,7130.5,4268.89,10513.0,27.17,,,,,,,,,,,,43.53,43.53,0.00426889
PipeANN,6965.63,4357.81,11894.0,27.16,,,,,,,,,,,,43.65,43.65,0.00435781
PipeANN,6019.5,5136.12,11815.0,36.1,,,,,,,,,,,,57.94,57.940000000000005,0.00513612
PipeANN,5932.67,5182.81,12202.0,36.08,,,,,,,,,,,,57.98,57.98,0.00518281
PipeANN,4972.6,6193.58,15686.0,45.05,,,,,,,,,,,,66.24,66.24,0.00619358
PipeANN,3758.29,8314.74,42956.0,54.22,,,,,,,,,,,,70.76,70.76,0.00831474
PipeANN,3621.14,8530.23,20197.0,63.94,,,,,,,,,,,,74.19,74.19,0.00853023
PipeANN,3242.1,9588.21,22024.0,73.21,,,,,,,,,,,,76.22,76.22,0.00958821
PipeANN,2876.14,10803.52,21502.0,82.78,,,,,,,,,,,,78.11,78.11,0.01080352
PipeANN,2547.88,12243.7,28305.0,92.22,,,,,,,,,,,,79.67,79.67,0.0122437
PipeANN,2319.27,13437.12,25883.0,101.8,,,,,,,,,,,,80.91,80.91,0.01343712
PipeANN,2068.9,15058.85,26960.0,111.27,,,,,,,,,,,,82.0,82.0,0.01505885
PipeANN,1933.94,16115.98,29148.0,121.0,,,,,,,,,,,,82.59,82.59,0.01611598
PipeANN,1754.8,17773.87,32472.0,120.96,,,,,,,,,,,,82.66,82.66,0.01777387
PipeANN,1709.91,18072.05,33895.0,130.82,,,,,,,,,,,,83.55,83.55,0.01807205
PipeANN,1610.26,19150.37,36274.0,130.99,,,,,,,,,,,,83.67,83.67,0.01915037
PipeANN,1461.76,21194.7,41331.0,140.53,,,,,,,,,,,,84.11,84.11,0.0211947
PipeANN,1449.45,21323.97,39707.0,140.6,,,,,,,,,,,,84.12,84.12,0.02132397
PipeANN,1436.5,21559.82,38560.0,150.5,,,,,,,,,,,,84.62,84.62,0.02155982
PipeANN,1401.53,22194.04,44749.0,160.34,,,,,,,,,,,,85.19,85.19,0.02219404
PipeANN,1342.09,23175.6,50631.0,169.85,,,,,,,,,,,,85.79,85.79,0.0231755999999999
PipeANN,1292.1,24195.52,49363.0,178.98,,,,,,,,,,,,86.15,86.15,0.02419552
PipeANN,1214.0,25665.24,45709.0,188.26,,,,,,,,,,,,86.54,86.54,0.02566524
PipeANN,1147.99,27220.82,53375.0,206.84,,,,,,,,,,,,87.16,87.16,0.02722082
PipeANN,831.52,37630.54,78072.0,299.84,,,,,,,,,,,,88.92,88.92,0.03763054
PipeANN,591.97,52925.71,92870.0,393.11,,,,,,,,,,,,89.82,89.82,0.05292571
PipeANN,483.13,64941.89,124600.0,487.2,,,,,,,,,,,,90.53,90.53,0.06494189
PipeANN,398.33,78749.45,133996.0,580.87,,,,,,,,,,,,90.95,90.95,0.07874945
PipeANN,336.52,93202.91,166650.0,674.7,,,,,,,,,,,,91.48,91.48,0.09320291
PipeANN,300.44,104396.32,163155.0,768.59,,,,,,,,,,,,91.78,91.78,0.10439632
PipeANN,273.49,114603.0,204824.0,863.09,,,,,,,,,,,,92.02,92.02,0.114603
PipeANN,233.54,134406.08,238666.0,957.49,,,,,,,,,,,,92.34,92.34,0.1344060799999999
PipeANN,172.29,182368.7,264974.0,1332.99,,,,,,,,,,,,92.63,92.63,0.1823687
PipeANN,137.26,228049.94,298075.0,1708.32,,,,,,,,,,,,92.86,92.86,0.22804994
PipeANN,111.75,279617.78,332523.0,2084.16,,,,,,,,,,,,93.1,93.1,0.27961778
PipeANN,80.08,391039.44,470097.0,2835.87,,,,,,,,,,,,93.27,93.27,0.39103944
PipeANN,48.43,647472.0,797260.0,4716.7,,,,,,,,,,,,93.52,93.52,0.647472
PipeANN,22.51,1394105.25,1688850.0,9420.58,,,,,,,,,,,,93.69,93.69,1.39410525
Gorgeous,8303.83,13723.0,34288.0,42.69,0.0,42.69,3574.25,171.25,15.48,12476.68,0.0,0.0,874.56,47.02,8036.0,52.35,52.35,0.013723
