algo,qps,mean_ltc_ns,ltc_999_ns,Graph_IO,Emb_IO,Ext_Cmp,PQ_Cmp,Pre_T,Disp_T,Read_T,Page_T,Cache_T,DiskN_T,Post_T,Mem_MB,recall_pct,recall,mean_latency_ms
DiskANN,15046.64,2054.0,3998.0,33.4,0.0,33.4,4275.2,0.04,0.01,1267.52,0.0,0.0,708.21,1.25,7162.0,33.98,33.98,0.002054
DiskANN,12012.41,2572.0,5461.0,44.08,0.0,44.08,5642.19,0.01,0.04,1586.2,0.0,0.01,896.21,1.67,7164.0,46.12,46.12,0.002572
DiskANN,8817.49,3532.0,7371.0,63.67,0.0,63.67,8149.29,0.0,0.06,2191.06,0.0,0.02,1228.18,2.23,7173.0,58.16,58.16,0.003532
DiskANN,5651.19,5559.0,10264.0,102.36,0.0,102.36,13102.24,0.0,0.12,3419.26,0.0,0.01,1973.71,3.53,7176.0,69.6,69.6,0.005559
DiskANN,4010.66,7636.0,15292.0,141.98,0.0,141.98,18173.52,0.02,0.64,4686.91,0.0,0.03,2735.95,5.13,7183.0,76.27,76.27,0.007636
DiskANN,3117.75,10029.0,22492.0,181.66,0.0,181.66,23252.38,0.02,0.5,5892.29,0.0,0.08,3850.3,6.5,7196.0,80.14,80.14,0.010029
DiskANN,2197.67,14340.0,24834.0,260.1,0.0,260.1,33292.41,0.02,0.81,8389.44,0.0,0.13,5568.65,9.63,7199.0,84.92,84.92,0.01434
DiskANN,1702.47,18510.0,27950.0,339.19,0.0,339.19,43415.9,0.01,1.08,10888.83,0.0,0.19,7137.87,12.83,7215.0,87.92,87.92,0.01851
DiskANN,840.24,37357.0,49187.0,657.06,0.0,657.06,84103.71,0.02,7.44,20717.19,0.0,0.4,15658.75,26.73,7237.0,92.81,92.81,0.037357
DiskANN,528.64,59644.0,78599.0,1015.58,0.0,1015.58129994,84.0,0.1,29.66,31539.69,0.0,0.56,26367.74,43.91,7309.0,94.85,94.85,0.059644
DiskANN,255.61,123398.0,163869.0,2014.11,0.0,2014.11257806,24.0,0.55,1034.77,61530.06,0.0,1.16,57512.41,98.35,7437.0,97.34,97.34,0.123398
MARGO,17877.74,1668.72,4597.0,17.93,,,,,,,,,,,13392.0,55.69,55.69,0.00166872
MARGO,17336.96,1718.23,4583.0,23.51,,,,,,,,,,,13393.0,58.32,58.32000000000001,0.00171823
MARGO,14004.74,2135.74,4776.0,34.83,,,,,,,,,,,13399.0,62.85,62.85000000000001,0.0021357399999999
MARGO,13027.14,2316.56,5405.0,33.83,,,,,,,,,,,13393.0,72.7,72.7,0.00231656
MARGO,11301.18,2661.68,8872.0,45.56,,,,,,,,,,,13399.0,75.18,75.18,0.00266168
MARGO,10425.97,2894.59,6683.0,43.46,,,,,,,,,,,13393.0,78.76,78.76,0.00289459
MARGO,9770.67,3084.33,8300.0,55.1,,,,,,,,,,,13399.0,81.03,81.03,0.0030843299999999
MARGO,8717.71,3496.06,7661.0,53.42,,,,,,,,,,,13393.0,82.5,82.5,0.00349606
MARGO,8346.69,3569.73,11410.0,64.43,,,,,,,,,,,13399.0,83.95,83.95,0.00356973
MARGO,7599.25,4012.66,10706.0,73.5,,,,,,,,,,,13399.0,85.65,85.65,0.0040126599999999
MARGO,6289.06,4867.3,9825.0,92.28,,,,,,,,,,,13399.0,88.22,88.22,0.0048673
MARGO,5352.09,5747.84,13243.0,111.49,,,,,,,,,,,13399.0,90.28,90.28,0.00574784
MARGO,5025.75,6129.28,11490.0,121.02,,,,,,,,,,,13399.0,90.92,90.92,0.00612928
MARGO,4404.08,7019.78,14094.0,140.58,,,,,,,,,,,13403.0,92.04,92.04,0.00701978
MARGO,3500.28,8837.15,16092.0,179.49,,,,,,,,,,,13410.0,93.34,93.34,0.00883715
MARGO,2883.03,10743.88,19050.0,218.36,,,,,,,,,,,13412.0,94.11,94.11,0.0107438799999999
MARGO,1958.79,15845.77,31337.0,317.68,,,,,,,,,,,13414.0,95.83,95.83,0.01584577
MARGO,1539.83,20216.24,35087.0,416.76,,,,,,,,,,,13440.0,96.66,96.66,0.02021624
MARGO,1291.83,24174.63,42108.0,409.98,,,,,,,,,,,13437.0,96.68,96.68,0.02417463
MARGO,1190.01,26070.85,51173.0,515.87,,,,,,,,,,,13450.0,97.02,97.02,0.02607085
MARGO,1029.28,30198.21,51845.0,615.86,,,,,,,,,,,13448.0,97.29,97.29,0.03019821
MARGO,774.78,40125.89,62804.0,816.04,,,,,,,,,,,13468.0,97.85,97.85,0.04012589
MARGO,646.59,47907.42,77610.0,809.7,,,,,,,,,,,13479.0,97.86,97.86,0.04790742
