algo,qps,mean_ltc_ns,ltc_999_ns,Graph_IO,Emb_IO,Ext_Cmp,PQ_Cmp,Pre_T,Disp_T,Read_T,Page_T,Cache_T,DiskN_T,Post_T,Mem_MB,recall_pct,recall,mean_latency_ms
DiskANN,427.86,74177.0,1679647.0,33.4,0.0,33.4,4275.2,0.05,0.01,72979.51,0.0,0.0,1120.54,1.22,7161.0,33.98,33.98,0.074177
DiskANN,282.65,89972.0,2777245.0,35.43,0.0,35.43,4534.73,0.02,0.04,88805.12,0.0,0.01,1089.39,1.19,7161.0,37.03,37.03,0.089972
DiskANN,264.83,99230.0,3147826.0,37.74,0.0,37.74,4830.17,0.02,0.01,97825.46,0.0,0.01,1323.31,1.34,7161.0,39.71,39.71,0.09923
DiskANN,251.39,105718.0,2540531.0,39.81,0.0,39.81,5096.1,0.01,0.01104245,25.0,0.0,0.01,1389.92,1.41,7161.0,41.96,41.96,0.105718
DiskANN,239.17,130952.0,481133.0,41.77,0.0,41.77,5347.13,0.01,0.0112943,88.0,0.0,0.0,1434.21,1.6,7161.0,43.92,43.92,0.130952
DiskANN,226.83,139438.0,429636.0,44.08,0.0,44.08,5642.19,0.01,0.03137566,26.0,0.0,0.0,1781.62,1.71,7163.0,46.12,46.12,0.139438
DiskANN,216.58,146197.0,824580.0,46.15,0.0,46.15,5906.81,0.02,0.04143106,61.0,0.0,0.0,2994.49,1.82,7163.0,47.68,47.68,0.146197
DiskANN,207.23,137537.0,2750096.0,48.19,0.0,48.19,6168.42,0.0,0.02134973,98.0,0.0,0.02,2469.61,1.85,7164.0,49.04,49.04,0.137537
DiskANN,198.78,145165.0,2849704.0,50.31,0.0,50.31,6439.97,0.0,0.03142954,9.0,0.0,0.01,2111.5,1.96,7167.0,50.58,50.580000000000005,0.145165
DiskANN,191.27,145916.0,2851673.0,52.29,0.0,52.29,6693.36,0.03,0.08144109,33.0,0.0,0.02,1703.31,1.97,7168.0,52.11,52.11,0.145916
DiskANN,185.24,152597.0,2675828.0,54.02,0.0,54.02,6914.87,0.02,0.01150674,87.0,0.0,0.0,1815.94,2.04,7169.0,53.24,53.24,0.152597
DiskANN,156.95,187606.0,2395754.0,63.67,0.0,63.67,8149.29,0.02,0.04185334,84.0,0.0,0.02,2153.22,2.31,7170.0,58.16,58.16,0.187606
DiskANN,136.31,228890.0,5064559.0,73.38,0.0,73.38,9392.59,0.0,0.05226231,6.0,0.0,0.01,2529.07,2.63,7171.0,62.01,62.01,0.22889
DiskANN,120.31,226495.0,6726169.0,83.09,0.0,83.09,10636.15,0.01,0.13223375,38.0,0.0,0.03,2977.73,3.01,7171.0,65.07,65.07,0.226495
DiskANN,107.89,288030.0,6149580.0,92.74,0.0,92.74,11870.96,0.01,0.09284768,76.0,0.0,0.02,3105.75,3.37,7171.0,67.52,67.52,0.28803
DiskANN,97.65,298293.0,5764510.0,102.36,0.0,102.36,13102.24,0.03,0.14294664,87.0,0.0,0.01,3462.63,3.61,7171.0,69.6,69.6,0.298293
DiskANN,70.44,402049.0,7293616.0,141.98,0.0,141.98,18173.52,0.0,0.20396844,8.0,0.0,0.03,4996.07,4.99,7179.0,76.27,76.27,0.402049
DiskANN,55.07,515713.0,10002886.0,181.66,0.0,181.66,23252.38,0.04,0.37508908,33.0,0.0,0.04,6533.8,6.52,7187.0,80.14,80.14,0.515713
DiskANN,45.32,681768.0,13626359.0,220.64,0.0,220.64,28241.89,0.01,0.43674153,38.0,0.0,0.03,7289.42,7.92,7191.0,82.97,82.97,0.681768
DiskANN,32.33,991454.0,18372736.0,319.3,0.0,319.3,40870.14,0.06,1.50980061,82.0,0.0,0.07,10951.41,12.0,7193.0,87.22,87.22,0.991454
DiskANN,23.9,1286233.0,21540428.0,418.34,0.0,418.34,53548.02,0.02,1.621272079,99.0,0.0,0.09,13542.01,15.97,7223.0,89.83,89.83,1.286233
DiskANN,19.33,1493933.0,16217486.0,517.41,0.0,517.41,66228.11,0.03,2.931473179,6.0,0.0,0.16,19972.47,20.51,7227.0,91.32,91.32,1.493933
DiskANN,16.2,1921455.0,21796548.0,617.47,0.0,617.47,79035.56,0.07,4.751899359,80.0,0.0,0.18,21160.25,24.57,7229.0,92.46,92.46,1.921455
DiskANN,13.95,2255841.0,23530196.0,716.78,0.0,716.78,91747.4,0.05,8.672228206,91.0,0.0,0.24,26548.21,29.53,7227.0,93.23,93.23,2.255841
DiskANN,10.92,2903683.0,25963716.0,916.0,0.0,916.00117248,39.0,0.05,18.38287022,13.0,0.0,0.29,31965.09,38.78,7295.0,94.33,94.33,2.903683
DiskANN,9.85,2904819.0,24800000.0,1015.58,0.0,1015.58129994,84.0,0.05,32.062867054,36.0,0.0,0.29,36059.85,43.22,7301.0,94.85,94.85,2.904819
DiskANN,8.23,3611844.0,49476696.0,1215.53,0.0,1215.53155587,92.0,0.16,84.733564471,3.0,0.0,0.31,45220.23,55.64,7299.0,95.61,95.61,3.611844
