algo,qps,mean_ltc_ns,ltc_999_ns,Graph_IO,Emb_IO,Ext_Cmp,PQ_Cmp,Pre_T,Disp_T,Read_T,Page_T,Cache_T,DiskN_T,Post_T,Mem_MB,recall_pct,recall,mean_latency_ms
DiskANN,5260.16,5895.9,10913.0,36.71,,,,,,,,,,,,60.63,60.63000000000001,0.0058959
DiskANN,4792.97,6497.73,13649.0,41.25,,,,,,,,,,,,69.6,69.6,0.0064977299999999
DiskANN,4390.39,7136.03,27436.0,45.66,,,,,,,,,,,,75.88,75.88,0.00713603
DiskANN,4161.65,7533.31,12568.0,50.07,,,,,,,,,,,,80.12,80.12,0.00753331
DiskANN,3646.47,8622.55,16886.0,54.59,,,,,,,,,,,,83.68,83.68,0.00862255
DiskANN,3478.27,9019.77,17698.0,59.22,,,,,,,,,,,,86.09,86.09,0.00901977
DiskANN,3278.64,9596.94,17485.0,63.85,,,,,,,,,,,,87.96,87.96,0.00959694
DiskANN,2853.68,11007.52,26814.0,68.53,,,,,,,,,,,,89.33,89.33,0.01100752
DiskANN,2683.02,11770.03,19639.0,73.26,,,,,,,,,,,,90.5,90.5,0.01177003
DiskANN,2605.42,12038.47,20570.0,77.98,,,,,,,,,,,,91.48,91.48,0.0120384699999999
DiskANN,2434.17,12886.2,22031.0,82.78,,,,,,,,,,,,92.48,92.48,0.0128862
DiskANN,2396.1,13103.15,27925.0,87.6,,,,,,,,,,,,93.19,93.19,0.01310315
DiskANN,2196.95,14291.65,29199.0,92.43,,,,,,,,,,,,93.75,93.75,0.01429165
DiskANN,1972.27,15920.55,31709.0,97.21,,,,,,,,,,,,94.23,94.23,0.01592055
DiskANN,1897.9,16576.32,36254.0,102.04,,,,,,,,,,,,94.61,94.61,0.01657632
DiskANN,1863.37,16881.47,28906.0,107.0,,,,,,,,,,,,95.14,95.14,0.01688147
DiskANN,1781.53,17652.77,32527.0,111.86,,,,,,,,,,,,95.49,95.49,0.01765277
DiskANN,1689.77,18643.08,29608.0,116.7,,,,,,,,,,,,95.83,95.83,0.01864308
DiskANN,1658.41,18905.39,36564.0,121.64,,,,,,,,,,,,96.21,96.21,0.01890539
DiskANN,1391.35,22611.89,33108.0,146.26,,,,,,,,,,,,97.43,97.43,0.02261189
DiskANN,1162.43,27091.97,40742.0,170.79,,,,,,,,,,,,97.89,97.89,0.02709197
DiskANN,995.65,31680.01,40870.0,195.61,,,,,,,,,,,,98.32,98.32,0.03168001
DiskANN,857.07,36652.18,48493.0,220.26,,,,,,,,,,,,98.49,98.49,0.03665218
DiskANN,822.08,38330.96,56640.0,245.02,,,,,,,,,,,,98.73,98.73,0.03833096
DiskANN,738.71,42642.45,51345.0,269.86,,,,,,,,,,,,98.96,98.96,0.04264245
DiskANN,682.25,46191.42,58146.0,294.73,,,,,,,,,,,,99.11,99.11,0.04619142
DiskANN,630.64,50011.8,60145.0,319.65,,,,,,,,,,,,99.2,99.2,0.0500118
Starling,4507.37,6793.0,14360.0,96.75,0.0,580.43,20893.01,351.78,13.68,28908.45,1501.83,0.07,1743.88,4.69,47811.0,91.52,91.52,0.006793
Starling,4071.82,8628.0,20926.0,104.48,0.0,626.82,22387.26,341.88,17.37,30972.08,1629.94,0.05,1756.73,5.3,47814.0,93.1,93.1,0.008628
Starling,3766.29,9613.0,23519.0,112.3,0.0,673.77,23877.44,339.5,19.54,33768.74,1877.69,0.12,2034.52,5.62,47820.0,94.12,94.12,0.009613
Starling,3747.27,9239.0,20477.0,120.08,0.0,720.4,25344.44,341.89,22.17,34660.29,1859.79,0.05,2055.0,5.83,47831.0,94.96,94.96,0.009239
Starling,3487.37,9995.0,21905.0,127.88,0.0,767.2,26790.57,351.45,25.64,37403.48,2151.97,0.05,2307.29,6.29,47841.0,95.64,95.64,0.009995
