algo,qps,mean_ltc_ns,ltc_999_ns,Graph_IO,Emb_IO,Ext_Cmp,PQ_Cmp,Pre_T,Disp_T,Read_T,Page_T,Cache_T,DiskN_T,Post_T,Mem_MB,recall_pct,recall,mean_latency_ms
DiskANN,17211.67,1759.59,5289.0,36.71,,,,,,,,,,,,60.63,60.63000000000001,0.00175959
DiskANN,16695.52,1863.24,4113.0,41.25,,,,,,,,,,,,69.6,69.6,0.00186324
DiskANN,15058.27,2067.63,4154.0,45.66,,,,,,,,,,,,75.88,75.88,0.00206763
DiskANN,13833.6,2257.2,4028.0,50.07,,,,,,,,,,,,80.12,80.12,0.0022572
DiskANN,12660.18,2473.85,4632.0,54.59,,,,,,,,,,,,83.68,83.68,0.00247385
DiskANN,11607.83,2694.93,6661.0,59.22,,,,,,,,,,,,86.09,86.09,0.00269493
DiskANN,10797.0,2904.33,5086.0,63.85,,,,,,,,,,,,87.96,87.96,0.00290433
DiskANN,10099.1,3100.88,5528.0,68.53,,,,,,,,,,,,89.33,89.33,0.00310088
DiskANN,9223.3,3394.12,7335.0,73.26,,,,,,,,,,,,90.5,90.5,0.00339412
DiskANN,8845.28,3540.7,5990.0,77.98,,,,,,,,,,,,91.48,91.48,0.0035407
DiskANN,8357.95,3745.09,5870.0,82.78,,,,,,,,,,,,92.48,92.48,0.00374509
DiskANN,7858.37,3983.44,8425.0,87.6,,,,,,,,,,,,93.19,93.19,0.00398344
DiskANN,7421.86,4230.79,8042.0,92.43,,,,,,,,,,,,93.75,93.75,0.00423079
DiskANN,7023.62,4464.17,10091.0,97.21,,,,,,,,,,,,94.23,94.23,0.00446417
DiskANN,6674.89,4700.23,10150.0,102.04,,,,,,,,,,,,94.61,94.61,0.00470023
DiskANN,6352.1,4950.17,9685.0,107.0,,,,,,,,,,,,95.14,95.14,0.00495017
DiskANN,6012.36,5216.34,9525.0,111.86,,,,,,,,,,,,95.49,95.49,0.00521634
DiskANN,5700.74,5511.05,10547.0,116.7,,,,,,,,,,,,95.83,95.83,0.00551105
DiskANN,5505.05,5704.07,8394.0,121.64,,,,,,,,,,,,96.21,96.21,0.0057040699999999
DiskANN,5316.82,5897.54,9000.0,126.56,,,,,,,,,,,,96.39,96.39,0.00589754
DiskANN,5108.02,6155.59,8976.0,131.4,,,,,,,,,,,,96.63,96.63,0.00615559
DiskANN,4889.02,6403.02,9583.0,136.31,,,,,,,,,,,,96.92,96.92,0.00640302
DiskANN,4755.93,6617.38,11399.0,141.28,,,,,,,,,,,,97.11,97.11,0.00661738
DiskANN,4568.75,6884.2,10731.0,146.26,,,,,,,,,,,,97.43,97.43,0.0068842
