algo,qps,mean_ltc_ns,ltc_999_ns,Graph_IO,Emb_IO,Ext_Cmp,PQ_Cmp,Pre_T,Disp_T,Read_T,Page_T,Cache_T,DiskN_T,Post_T,Mem_MB,recall_pct,recall,mean_latency_ms
DiskANN,448.93,70369.38,1174921.0,36.71,,,,,,,,,,,,60.63,60.63000000000001,0.07036938
DiskANN,242.74,130689.79,1575069.0,45.66,,,,,,,,,,,,75.88,75.88,0.13068979
DiskANN,199.72,158786.22,1922483.0,54.59,,,,,,,,,,,,83.68,83.68,0.15878622
DiskANN,168.46,188425.25,2875048.0,63.85,,,,,,,,,,,,87.96,87.96,0.18842525
DiskANN,148.81,203189.22,1143089.0,73.26,,,,,,,,,,,,90.5,90.5,0.20318922
DiskANN,127.79,248882.44,3247674.0,82.78,,,,,,,,,,,,92.48,92.48,0.24888244
DiskANN,113.79,279298.56,1463901.0,92.43,,,,,,,,,,,,93.75,93.75,0.27929856
DiskANN,103.41,292735.28,3564723.0,102.04,,,,,,,,,,,,94.61,94.61,0.29273528
DiskANN,96.69,326323.69,5704580.0,111.86,,,,,,,,,,,,95.49,95.49,0.32632369
DiskANN,85.5,371813.88,3980574.0,121.64,,,,,,,,,,,,96.21,96.21,0.37181388
DiskANN,78.85,403819.34,5899346.0,131.4,,,,,,,,,,,,96.63,96.63,0.40381934
DiskANN,73.24,433700.75,4563853.0,141.28,,,,,,,,,,,,97.11,97.11,0.43370075
DiskANN,70.44,450693.78,6399524.0,151.12,,,,,,,,,,,,97.57,97.57,0.45069378
DiskANN,64.07,496289.0,7824438.0,160.92,,,,,,,,,,,,97.75,97.75,0.496289
DiskANN,60.26,527128.38,8322825.0,170.79,,,,,,,,,,,,97.89,97.89,0.52712838
DiskANN,56.86,558715.12,7999432.0,180.66,,,,,,,,,,,,98.08,98.08,0.55871512
DiskANN,53.85,590706.81,10264015.0,190.61,,,,,,,,,,,,98.27,98.27,0.59070681
DiskANN,51.12,622327.81,7699185.0,200.57,,,,,,,,,,,,98.37,98.37,0.62232781
DiskANN,48.67,653069.69,7174768.0,210.43,,,,,,,,,,,,98.44,98.44,0.6530696899999999
DiskANN,46.45,683684.75,11911523.0,220.26,,,,,,,,,,,,98.49,98.49,0.68368475
DiskANN,44.41,715495.88,12760525.0,230.2,,,,,,,,,,,,98.6,98.6,0.71549588
DiskANN,42.54,747281.31,10474212.0,240.12,,,,,,,,,,,,98.7,98.7,0.7472813100000001
DiskANN,40.82,777721.69,13774988.0,250.01,,,,,,,,,,,,98.76,98.76,0.7777216899999999
DiskANN,39.22,811057.19,3817559.0,260.02,,,,,,,,,,,,98.85,98.85,0.81105719
DiskANN,37.77,841716.25,13621970.0,269.86,,,,,,,,,,,,98.96,98.96,0.84171625
DiskANN,36.41,873821.94,17013046.0,279.8,,,,,,,,,,,,99.03,99.03,0.8738219399999999
DiskANN,35.13,905192.94,20343540.0,289.74,,,,,,,,,,,,99.07,99.07,0.90519294
DiskANN,33.95,934839.62,16390780.0,299.75,,,,,,,,,,,,99.12,99.12,0.93483962
DiskANN,32.84,967218.12,12515492.0,309.7,,,,,,,,,,,,99.17,99.17,0.96721812
Starling,115.41,519780.0,5796413.0,96.75,0.0,580.49,20894.55,351.62,27.941101797,84.0,2508.43,0.01,2848.58,4.27,47810.0,91.52,91.52,0.51978
Starling,96.24,818042.0,7046306.0,104.48,0.0,626.85,22387.23,317.06,13.751430729,68.0,2141.68,0.03,2448.62,4.63,47814.0,93.1,93.1,0.818042
Starling,89.16,842469.0,5723793.0,112.31,0.0,673.83,23878.47,312.5,31.951506027,67.0,1665.67,0.03,2079.22,5.09,47823.0,94.12,94.12,0.842469
Starling,83.44,483983.0,6104925.0,120.08,0.0,720.5,25344.76,301.87,32.091393495,3.0,2495.32,0.05,2832.99,5.29,47833.0,94.96,94.96,0.483983
Starling,78.26,658843.0,7543478.0,127.88,0.0,767.29,26791.27,326.29,56.641620304,42.0,2457.24,0.06,2905.42,5.8,47843.0,95.64,95.64,0.658843
Starling,73.64,922406.0,7705399.0,135.92,0.0,815.52,28276.7,309.41,55.371846112,55.0,2365.54,0.06,2793.11,6.33,47849.0,96.18,96.18,0.922406
Starling,69.54,1007281.0,9532159.0,143.99,0.0,863.95,29751.95,306.06,53.331831295,73.0,2261.43,0.02,2822.33,6.63,47855.0,96.63,96.63,1.007281
Starling,66.01,929576.0,9245888.0,152.15,0.0,912.92,31229.63,351.95,111.491845686,95.0,3211.63,0.05,3671.08,6.97,47859.0,97.08,97.08,0.929576
Starling,62.43,845441.0,9666181.0,160.35,0.0,962.1,32705.32,356.97,120.151879464,60.0,4051.47,0.09,4652.85,7.38,47859.0,97.31,97.31,0.845441
Starling,59.31,1264232.0,12605474.0,168.71,0.0,1012.27,34200.64,336.78,90.032264529,17.0,2740.32,0.06,3289.28,7.61,47860.0,97.57,97.57,1.264232
Starling,56.53,1439347.0,10603788.0,177.11,0.0,1062.66,35692.06,338.53,91.842479228,73.0,3592.7,0.07,4155.34,8.5,47860.0,97.82,97.82,1.439347
Starling,53.96,1127938.0,11266483.0,185.51,0.0,1113.04,37177.97,308.12,72.932444052,95.0,2476.26,0.05,2954.89,8.47,47860.0,97.98,97.98,1.127938
