algo,qps,mean_ltc_ns,ltc_999_ns,Graph_IO,Emb_IO,Ext_Cmp,PQ_Cmp,Pre_T,Disp_T,Read_T,Page_T,Cache_T,DiskN_T,Post_T,Mem_MB,recall_pct,recall,mean_latency_ms
DiskANN,5330.9,5760.4,11938.0,35.58,,,,,,,,,,,,73.23,73.23,0.0057604
DiskANN,4473.8,7000.23,16691.0,45.31,,,,,,,,,,,,86.27,86.27,0.00700023
DiskANN,3437.71,9118.11,18094.0,54.96,,,,,,,,,,,,90.59,90.59,0.00911811
DiskANN,2949.09,10610.75,20517.0,64.55,,,,,,,,,,,,92.28,92.28,0.01061075
DiskANN,2481.81,12649.59,25100.0,74.24,,,,,,,,,,,,93.74,93.74,0.01264959
DiskANN,2225.87,14176.16,25524.0,84.16,,,,,,,,,,,,94.89,94.89,0.01417616
DiskANN,2046.84,15378.83,26247.0,93.81,,,,,,,,,,,,95.52,95.52,0.01537883
DiskANN,1920.16,16441.96,35291.0,103.47,,,,,,,,,,,,95.85,95.85,0.01644196
DiskANN,1747.15,18073.0,34309.0,113.45,,,,,,,,,,,,96.56,96.56,0.018073
DiskANN,1571.54,20005.1,34993.0,123.46,,,,,,,,,,,,96.82,96.82,0.0200050999999999
DiskANN,1473.93,21367.62,39358.0,133.11,,,,,,,,,,,,97.04,97.04,0.02136762
DiskANN,1394.94,22625.48,44052.0,142.81,,,,,,,,,,,,97.13,97.13,0.02262548
DiskANN,1186.69,26554.61,47696.0,152.62,,,,,,,,,,,,97.21,97.21,0.02655461
DiskANN,1157.38,27246.9,44320.0,162.54,,,,,,,,,,,,97.32,97.32,0.0272469
DiskANN,1043.54,30128.45,57259.0,172.38,,,,,,,,,,,,97.44,97.44,0.03012845
DiskANN,1026.47,30705.97,55582.0,192.24,,,,,,,,,,,,97.62,97.62,0.03070597
DiskANN,943.0,33465.11,64176.0,202.26,,,,,,,,,,,,97.94,97.94,0.03346511
DiskANN,869.48,36264.18,60412.0,212.09,,,,,,,,,,,,97.98,97.98,0.03626418
DiskANN,857.44,36651.03,67778.0,222.1,,,,,,,,,,,,98.22,98.22,0.03665103
DiskANN,830.64,37887.4,67923.0,231.88,,,,,,,,,,,,98.26,98.26,0.0378874
DiskANN,814.99,38610.12,67110.0,241.83,,,,,,,,,,,,98.31,98.31,0.03861012
DiskANN,740.04,42552.79,68091.0,261.54,,,,,,,,,,,,98.39,98.39,0.04255279
DiskANN,733.12,43022.43,64363.0,271.49,,,,,,,,,,,,98.53,98.53,0.04302243
DiskANN,639.91,49115.05,79348.0,281.39,,,,,,,,,,,,98.54,98.54,0.04911505
DiskANN,603.66,52395.16,79869.0,301.1,,,,,,,,,,,,98.56,98.56,0.05239516
DiskANN,580.59,54335.87,81453.0,310.93,,,,,,,,,,,,98.58,98.58,0.05433587
Starling,4465.51,7630.0,18794.0,94.62,0.0,567.75,16540.97,466.32,12.58,30550.47,1111.72,0.06,1379.42,4.81,41054.0,91.71,91.71,0.00763
Starling,4350.85,8670.0,21615.0,101.85,0.0,611.04,17485.16,460.04,16.35,32207.12,1185.66,0.02,1442.91,5.62,41076.0,92.84,92.84,0.00867
Starling,3973.66,9582.0,22836.0,108.83,0.0,653.08,18376.14,450.42,18.18,35556.88,1250.94,0.07,1516.54,5.86,41081.0,93.61,93.61,0.009582
Starling,3820.82,9186.0,23846.0,115.85,0.0,695.05,19253.39,463.03,20.94,35692.41,1472.81,0.07,1743.98,5.94,41088.0,94.17,94.17,0.009186
Starling,3584.2,9570.0,24489.0,122.69,0.0,736.12,20094.24,460.22,23.14,36725.24,1607.48,0.07,1856.99,6.19,41089.0,94.49,94.49,0.00957
Starling,3183.27,11586.0,32042.0,129.7,0.0,778.23,20942.53,454.53,25.71,42423.52,1664.09,0.03,1893.48,6.45,41083.0,94.82,94.82,0.011586
Starling,3076.38,12399.0,35670.0,136.81,0.0,820.87,21814.74,461.94,28.21,43585.84,1779.9,0.09,2030.51,7.05,41094.0,95.13,95.13,0.012399
Starling,2867.29,11750.0,34101.0,143.95,0.0,863.64,22674.13,463.05,31.57,46324.49,1960.27,0.06,2229.17,7.15,41085.0,95.53,95.53,0.01175
Starling,2735.81,13327.0,32081.0,157.88,0.0,947.17,24352.17,450.5,42.09,51714.34,1805.62,0.08,2132.29,8.24,41095.0,95.94,95.94,0.013327
Starling,2652.44,12413.0,34152.0,164.97,0.0,989.78,25210.87,452.35,37.63,52193.01,1888.58,0.08,2139.68,8.06,41088.0,96.01,96.01,0.012413
Starling,2638.0,13199.0,33741.0,172.0,0.0,1031.99,26054.71,475.92,69.37,52866.61,2261.92,0.08,2537.31,8.64,41095.0,96.18,96.18,0.013199
Starling,2489.37,13345.0,34022.0,178.98,0.0,1073.95,26897.31,460.55,51.58,54680.51,2265.96,0.19,2530.06,8.8,41097.0,96.26,96.26,0.013345
Starling,2280.83,14271.0,32547.0,186.0,0.0,1115.93,27741.79,449.2,45.29,60382.31,2076.15,0.08,2347.46,9.11,41093.0,96.4,96.4,0.014271
Starling,2204.3,14917.0,39041.0,192.95,0.0,1157.77,28578.88,455.22,57.87,59290.9,2386.02,0.15,2669.32,9.68,41101.0,96.56,96.56,0.014917
Starling,2124.9,16161.0,35856.0,200.38,0.0,1202.27,29472.4,520.73,111.83,63054.47,2592.68,0.15,2896.52,10.08,41101.0,96.65,96.65,0.016161
Starling,1797.78,18687.0,44688.0,235.78,0.0,1414.67,33693.62,453.51,132.54,75196.53,2665.91,0.24,3137.25,11.65,41116.0,97.1,97.1,0.018687
Starling,1529.16,21659.0,44858.0,271.26,0.0,1627.6,37899.51,465.62,124.73,86004.84,3536.5,0.16,3817.46,13.83,41126.0,97.4,97.4,0.021659
Starling,1391.71,24130.0,51971.0,306.39,0.0,1838.4,42056.65,473.36,129.35,98965.3,3729.34,0.2,4150.07,15.44,41147.0,97.62,97.62,0.02413
Starling,1282.24,25322.0,54278.0,341.53,0.0,2049.14,46171.47,467.61,140.06108402,19.0,3791.88,0.18,4227.0,16.9,41175.0,97.84,97.84,0.025322
Starling,1119.89,31460.0,82978.0,376.97,0.0,2261.82,50339.16,496.01,337.87121665,54.0,4303.11,0.3,4695.85,18.99,41179.0,98.06,98.06,0.03146
Starling,1038.08,32014.0,64957.0,412.61,0.0,2475.67,54489.52,486.5,290.4312484,29.0,5458.23,0.33,5685.14,20.79,41181.0,98.21,98.21,0.032014
Starling,890.31,41122.0,109962.0,483.27,0.0,2899.55,62689.73,471.19,372.72147777,54.0,6065.52,0.43,6492.85,25.5,41195.0,98.45,98.45,0.041122
Starling,771.79,41713.0,98212.0,553.83,0.0,3323.0,70815.24,505.72,701.89170717,66.0,6279.71,0.45,6978.52,28.4,41211.0,98.63,98.63,0.041713
