algo,qps,mean_ltc_ns,ltc_999_ns,Graph_IO,Emb_IO,Ext_Cmp,PQ_Cmp,Pre_T,Disp_T,Read_T,Page_T,Cache_T,DiskN_T,Post_T,Mem_MB,recall_pct,recall,mean_latency_ms
DiskANN,18508.22,1567.41,3924.0,35.58,,,,,,,,,,,,73.23,73.23,0.00156741
DiskANN,16549.89,1878.68,4855.0,45.31,,,,,,,,,,,,86.27,86.27,0.00187868
DiskANN,13708.84,2270.05,4945.0,54.96,,,,,,,,,,,,90.59,90.59,0.00227005
DiskANN,11781.06,2657.54,4793.0,64.55,,,,,,,,,,,,92.28,92.28,0.00265754
DiskANN,10190.16,3081.66,6221.0,74.24,,,,,,,,,,,,93.74,93.74,0.00308166
DiskANN,9004.63,3486.56,6420.0,84.16,,,,,,,,,,,,94.89,94.89,0.00348656
DiskANN,7999.0,3926.82,9697.0,93.81,,,,,,,,,,,,95.52,95.52,0.00392682
DiskANN,7215.02,4363.48,7291.0,103.47,,,,,,,,,,,,95.85,95.85,0.0043634799999999
DiskANN,6670.17,4717.14,9441.0,113.45,,,,,,,,,,,,96.56,96.56,0.00471714
DiskANN,6161.54,5101.47,9042.0,123.46,,,,,,,,,,,,96.82,96.82,0.00510147
DiskANN,5634.39,5564.25,11779.0,133.11,,,,,,,,,,,,97.04,97.04,0.00556425
DiskANN,5239.67,5997.34,10215.0,142.81,,,,,,,,,,,,97.13,97.13,0.00599734
DiskANN,4902.77,6412.51,11970.0,152.62,,,,,,,,,,,,97.21,97.21,0.00641251
DiskANN,4598.37,6847.31,16013.0,162.54,,,,,,,,,,,,97.32,97.32,0.00684731
DiskANN,4305.63,7294.03,14110.0,172.38,,,,,,,,,,,,97.44,97.44,0.00729403
DiskANN,4058.49,7741.1,14965.0,182.31,,,,,,,,,,,,97.56,97.56,0.0077411
DiskANN,3913.02,8044.36,14702.0,192.24,,,,,,,,,,,,97.62,97.62,0.00804436
DiskANN,3706.87,8491.28,14642.0,202.26,,,,,,,,,,,,97.94,97.94,0.00849128
DiskANN,3505.94,8986.82,17572.0,212.09,,,,,,,,,,,,97.98,97.98,0.00898682
DiskANN,3328.94,9424.56,15617.0,222.1,,,,,,,,,,,,98.22,98.22,0.00942456
DiskANN,3191.85,9847.39,15847.0,231.88,,,,,,,,,,,,98.26,98.26,0.00984739
DiskANN,3031.95,10376.07,18080.0,241.83,,,,,,,,,,,,98.31,98.31,0.01037607
DiskANN,2957.61,10644.89,18178.0,251.58,,,,,,,,,,,,98.36,98.36,0.0106448899999999
DiskANN,2852.8,11062.55,16959.0,261.54,,,,,,,,,,,,98.39,98.39,0.0110625499999999
DiskANN,2687.35,11712.17,19213.0,271.49,,,,,,,,,,,,98.53,98.53,0.01171217
DiskANN,2646.19,11914.12,18608.0,281.39,,,,,,,,,,,,98.54,98.54,0.01191412
DiskANN,2565.97,12289.64,18761.0,291.2,,,,,,,,,,,,98.55,98.55,0.01228964
DiskANN,2431.96,12983.57,18819.0,301.1,,,,,,,,,,,,98.56,98.56,0.01298357
DiskANN,2339.77,13466.64,19499.0,310.93,,,,,,,,,,,,98.58,98.58,0.01346664
Starling,6322.32,911.0,2440.0,94.63,0.0,567.8,16541.87,360.28,7.68,2566.22,753.21,0.02,871.09,3.95,41075.0,91.71,91.71,0.000911
Starling,6005.3,961.0,3275.0,101.85,0.0,611.11,17486.57,352.32,7.59,2788.42,769.54,0.03,878.37,4.18,41085.0,92.84,92.84,0.000961
Starling,5656.01,1021.0,3912.0,108.86,0.0,653.17,18377.64,357.81,8.64,2962.77,820.53,0.04,931.24,4.62,41098.0,93.61,93.61,0.001021
Starling,5375.1,1071.0,3096.0,115.86,0.0,695.15,19255.94,360.12,9.26,3150.42,858.7,0.06,975.35,4.96,41106.0,94.17,94.17,0.001071
Starling,5120.74,1125.0,3295.0,122.69,0.0,736.16,20094.93,358.86,9.68,3331.11,894.21,0.07,1013.31,5.17,41116.0,94.49,94.49,0.001125
Starling,4862.07,1188.0,3989.0,129.71,0.0,778.27,20943.66,364.25,10.56,3547.07,943.93,0.1,1055.27,5.51,41118.0,94.82,94.82,0.001188
Starling,4644.78,1238.0,3875.0,136.82,0.0,820.93,21816.24,365.41,11.04,3747.46,979.15,0.04,1098.67,5.83,41119.0,95.13,95.13,0.001238
Starling,4462.91,1276.0,2886.0,143.95,0.0,863.71,22675.62,360.15,11.05,3963.4,1001.42,0.08,1120.35,6.11,41121.0,95.53,95.53,0.001276
Starling,4293.05,1335.0,3070.0,150.97,0.0,905.82,23522.71,356.99,11.45,4167.25,1027.25,0.09,1154.97,6.46,41121.0,95.82,95.82,0.001335
Starling,4118.04,1391.0,3011.0,157.89,0.0,947.34,24355.5,358.32,13.25,4351.39,1079.56,0.11,1206.07,6.85,41122.0,95.94,95.94,0.001391
Starling,3988.96,1435.0,3399.0,164.98,0.0,989.86,25212.68,354.68,13.27,4547.44,1097.53,0.11,1234.7,7.1,41123.0,96.01,96.01,0.001435
Starling,3830.29,1488.0,3336.0,172.02,0.0,1032.12,26057.08,352.37,13.69,4771.79,1138.76,0.09,1277.64,7.37,41124.0,96.18,96.18,0.001488
Starling,3692.67,1541.0,3445.0,179.0,0.0,1074.01,26898.33,355.93,15.43,4894.34,1220.51,0.12,1357.34,7.83,41126.0,96.26,96.26,0.001541
Starling,3572.34,1588.0,3533.0,186.01,0.0,1116.05,27743.24,354.8,16.14,5150.33,1219.51,0.15,1362.82,8.2,41129.0,96.4,96.4,0.001588
Starling,3451.32,1648.0,3585.0,192.99,0.0,1157.93,28580.86,356.04,17.68,5328.51,1271.59,0.15,1419.89,8.36,41131.0,96.56,96.56,0.001648
Starling,3325.24,1709.0,3662.0,200.4,0.0,1202.38,29474.5,357.61,18.72,5499.45,1354.88,0.11,1498.52,8.8,41136.0,96.65,96.65,0.001709
Starling,3098.54,1937.0,6245.0,164.5,0.0,987.02,70341.04,378.11,17.68,1433.81,5622.9,0.11,1249.29,7.21,41316.0,96.78,96.78,0.001937
Starling,2895.64,2130.0,9097.0,171.64,0.0,1029.81,72856.75,389.06,20.44,1496.37,5986.57,0.08,1333.16,7.67,41342.0,96.9,96.9,0.00213
Starling,2845.51,1994.0,4731.0,235.8,0.0,1414.78,33696.29,367.39,25.72,6483.19,1574.61,0.22,1741.03,10.65,41149.0,97.1,97.1,0.001994
Starling,2721.25,2226.0,8044.0,185.8,0.0,1114.82,77852.49,396.69,24.7,1472.59,6518.05,0.14,1425.03,8.18,41366.0,97.16,97.16,0.002226
Starling,2649.45,2341.0,5701.0,192.8,0.0,1156.78,80304.02,397.73,26.45,1522.03,6694.78,0.1,1465.63,8.41,41374.0,97.33,97.33,0.002341
Starling,2583.57,2381.0,4854.0,200.13,0.0,1200.76,82888.01,402.23,27.88,1608.89,6820.3,0.15,1490.73,8.84,41378.0,97.39,97.39,0.002381
Starling,2515.76,2248.0,5469.0,271.29,0.0,1627.74,37902.22,368.1,30.32,7564.73,1729.49,0.19,1899.55,12.02,41169.0,97.4,97.4,0.002248
Starling,2258.65,2708.0,6533.0,235.49,0.0,1412.94,95172.15,404.47,37.84,1854.96,7933.25,0.17,1712.6,10.5,41384.0,97.9,97.9,0.002708
Starling,2029.4,2984.0,7344.0,271.06,0.0,1626.36107482,18.0,403.94,46.93,2131.48,8890.98,0.17,1894.22,12.19,41384.0,98.13,98.13,0.002984
Starling,1805.01,3365.0,9115.0,306.27,0.0,1837.59119636,51.0,411.6,62.75,2360.29,10147.52,0.27,2134.13,14.04,41386.0,98.35,98.35,0.003365
Starling,1672.23,3651.0,11572.0,341.7,0.0,2050.20131843,26.0,411.64,70.72,2686.38,10960.08,0.23,2284.91,15.76,41390.0,98.57,98.57,0.003651
Starling,1487.9,4046.0,11395.0,377.2,0.0,2263.2214404,26.0,418.86,87.89,2890.57,12436.63,0.3,2566.06,17.72,41418.0,98.67,98.67,0.004046
Starling,1405.1,4325.0,13285.0,412.53,0.0,2475.20156064,98.0,423.18,98.79,3196.28,13185.56,0.36,2704.11,19.47,41486.0,98.74,98.74,0.004325
Starling,1151.21,5278.0,18402.0,483.04,0.0,2898.25179933,64.0,452.37,137.29,3482.85,16289.3,0.36,3314.64,24.02,41665.0,98.89,98.89,0.005278
Starling,995.18,5631.0,11298.0,694.82,0.0,4168.89,86975.49,428.17,178.34,18870.18,4672.68,0.79,4996.15,34.66,41360.0,98.94,98.94,0.005631
Starling,982.95,6240.0,14080.0,553.92,0.0,3323.52203805,19.0,495.46,190.44,3702.36,19319.56,0.44,3942.25,27.24,41736.0,99.06,99.06,0.00624
Starling,866.95,6967.0,14628.0,624.74,0.0,3748.41227472,89.0,529.49,269.96,4026.5,21836.51,0.53,4535.67,31.26,41744.0,99.21,99.21,0.006967
Starling,758.67,7671.0,15589.0,695.41,0.0,4172.47251098,93.0,539.86,393.06,4352.16,25297.17,0.47,5036.81,35.1,41744.0,99.27,99.27,0.007671
Starling,692.6,7945.0,13503.0,976.23,0.0,5857.38118927,40.0,451.1,332.98,25769.97,7380.85,0.82,7482.99,51.46,41392.0,99.3,99.3,0.007945
Starling,661.43,8503.0,13825.0,1046.68,0.0,6280.07126849,69.0,448.28,429.61,27846.5,7319.17,0.91,7773.54,55.05,41392.0,99.36,99.36,0.008503
Starling,615.62,8987.0,15316.0,1117.02,0.0,6702.13134735,92.0,461.95,549.69,29272.43,8271.3,0.89,8375.41,58.82,41392.0,99.44,99.44,0.008987
Starling,546.51,11038.0,28212.0,977.42,0.0,5864.52344154,64.0,560.28,543.46,5804.07,35427.97,0.73,6946.23,51.28,42222.0,99.48,99.48,0.011038
Starling,510.3,12128.0,30710.0,1047.97,0.0,6287.83367105,81.0,564.32,621.29,6098.36,37949.32,0.87,7418.68,55.45,42398.0,99.52,99.52,0.012128
Starling,463.48,13414.0,27416.0,1118.66,0.0,6711.94390075,86.0,579.54,900.4,6340.48,41363.5,0.81,8366.56,60.4,42446.0,99.55,99.55,0.013414
