algo,qps,mean_ltc_ns,ltc_999_ns,Graph_IO,Emb_IO,Ext_Cmp,PQ_Cmp,Pre_T,Disp_T,Read_T,Page_T,Cache_T,DiskN_T,Post_T,Mem_MB,recall_pct,recall,mean_latency_ms
DiskANN,459.34,68339.8,1204824.0,35.58,,,,,,,,,,,,73.23,73.23,0.0683398
DiskANN,241.02,131402.06,1974897.0,45.31,,,,,,,,,,,,86.27,86.27,0.13140206
DiskANN,195.66,162221.73,2199682.0,54.96,,,,,,,,,,,,90.59,90.59,0.16222173
DiskANN,164.77,192431.45,3674882.0,64.55,,,,,,,,,,,,92.28,92.28,0.19243145
DiskANN,142.28,223133.22,3414125.0,74.24,,,,,,,,,,,,93.74,93.74,0.22313322
DiskANN,124.73,254355.19,4429634.0,84.16,,,,,,,,,,,,94.89,94.89,0.25435519
DiskANN,111.42,285485.09,4999563.0,93.81,,,,,,,,,,,,95.52,95.52,0.28548509
DiskANN,100.56,315554.0,4253319.0,103.47,,,,,,,,,,,,95.85,95.85,0.315554
DiskANN,91.44,347241.12,3699794.0,113.45,,,,,,,,,,,,96.56,96.56,0.34724112
DiskANN,83.87,378269.12,6300242.0,123.46,,,,,,,,,,,,96.82,96.82,0.37826912
DiskANN,77.6,409835.56,4449651.0,133.11,,,,,,,,,,,,97.04,97.04,0.40983556
DiskANN,72.14,440517.5,5409370.0,142.81,,,,,,,,,,,,97.13,97.13,0.4405175
DiskANN,67.44,471645.25,5484579.0,152.62,,,,,,,,,,,,97.21,97.21,0.47164525
DiskANN,63.32,502045.94,7366405.0,162.54,,,,,,,,,,,,97.32,97.32,0.50204594
DiskANN,59.55,533652.0,7723109.0,172.38,,,,,,,,,,,,97.44,97.44,0.533652
DiskANN,56.26,565383.44,6693590.0,182.31,,,,,,,,,,,,97.56,97.56,0.56538344
DiskANN,53.32,595806.5,7088947.0,192.24,,,,,,,,,,,,97.62,97.62,0.5958065
DiskANN,50.61,628313.0,9124260.0,202.26,,,,,,,,,,,,97.94,97.94,0.628313
DiskANN,48.26,658916.19,9303012.0,212.09,,,,,,,,,,,,97.98,97.98,0.6589161899999999
DiskANN,46.06,690288.56,6949504.0,222.1,,,,,,,,,,,,98.22,98.22,0.69028856
DiskANN,44.08,720380.06,11024055.0,231.88,,,,,,,,,,,,98.26,98.26,0.7203800600000001
DiskANN,42.23,751393.44,12429050.0,241.83,,,,,,,,,,,,98.31,98.31,0.75139344
DiskANN,40.56,785318.38,12927260.0,251.58,,,,,,,,,,,,98.36,98.36,0.78531838
DiskANN,39.03,814492.88,7444174.0,261.54,,,,,,,,,,,,98.39,98.39,0.81449288
DiskANN,37.56,846597.44,10634148.0,271.49,,,,,,,,,,,,98.53,98.53,0.8465974399999999
DiskANN,36.23,879120.94,9794651.0,281.39,,,,,,,,,,,,98.54,98.54,0.87912094
DiskANN,35.0,907635.31,10913486.0,291.2,,,,,,,,,,,,98.55,98.55,0.90763531
DiskANN,33.84,939631.88,11417166.0,301.1,,,,,,,,,,,,98.56,98.56,0.93963188
DiskANN,32.75,971251.25,14570481.0,310.93,,,,,,,,,,,,98.58,98.58,0.97125125
Starling,118.23,541588.0,6158432.0,94.63,0.0,567.79,16541.79,399.29,31.431166088,21.0,3195.2,0.01,3735.89,4.22,41042.0,91.71,91.71,0.541588
Starling,98.82,778549.0,6911933.0,101.85,0.0,611.11,17486.24,378.18,45.461361005,25.0,1071.62,0.04,1350.63,4.65,41051.0,92.84,92.84,0.778549
Starling,92.0,505929.0,8432834.0,108.86,0.0,653.16,18377.54,362.12,16.441411131,81.0,1524.66,0.05,1790.68,4.88,41065.0,93.61,93.61,0.505929
Starling,86.46,432675.0,7570435.0,115.86,0.0,695.14,19255.88,416.56,88.411477874,66.0,2566.92,0.04,3100.58,5.19,41074.0,94.17,94.17,0.432675
Starling,81.61,886490.0,7647977.0,122.69,0.0,736.16,20094.93,475.3,63.211524937,48.0,1858.82,0.05,2247.79,5.59,41077.0,94.49,94.49,0.88649
Starling,77.23,794205.0,10611334.0,129.71,0.0,778.26,20943.3,424.47,41.601683402,6.0,1408.67,0.03,1721.12,5.94,41077.0,94.82,94.82,0.794205
Starling,73.36,725793.0,10112914.0,136.82,0.0,820.93,21816.12,450.68,90.921529997,20.0,1827.16,0.07,2185.11,6.25,41078.0,95.13,95.13,0.725793
Starling,69.59,931129.0,14190356.0,143.95,0.0,863.7,22675.5,435.32,62.151751484,66.0,2095.77,0.04,2456.35,6.61,41083.0,95.53,95.53,0.931129
Starling,66.3,1013472.0,12873712.0,150.97,0.0,905.82,23522.46,419.96,69.041980852,64.0,2488.62,0.04,2907.41,6.92,41085.0,95.82,95.82,1.013472
Starling,63.44,819329.0,11609178.0,157.89,0.0,947.34,24355.5,447.03,89.152053665,37.0,2058.81,0.06,2492.58,7.29,41087.0,95.94,95.94,0.819329
Starling,60.69,1054912.0,12801278.0,164.98,0.0,989.86,25212.68,395.45,47.072022123,68.0,1572.44,0.1,1921.12,7.57,41088.0,96.01,96.01,1.054912
Starling,58.3,1105329.0,9933591.0,172.02,0.0,1032.11,26056.96,406.09,59.682368824,60.0,2357.48,0.06,2648.08,8.06,41088.0,96.18,96.18,1.105329
Starling,55.94,1118735.0,16428663.0,179.0,0.0,1074.01,26898.33,403.48,60.972298846,90.0,2231.24,0.12,2569.91,9.81,41089.0,96.26,96.26,1.118735
Starling,53.81,965470.0,13682408.0,186.01,0.0,1116.04,27743.12,393.53,70.612243848,81.0,2209.79,0.05,2573.34,8.54,41091.0,96.4,96.4,0.96547
Starling,51.86,1341038.0,13227850.0,192.99,0.0,1157.92,28580.86,416.59,116.642531017,10.0,2470.2,0.06,2908.23,8.83,41093.0,96.56,96.56,1.341038
Starling,49.95,1308738.0,12668976.0,200.4,0.0,1202.37,29474.26,422.57,106.912739326,52.0,2318.8,0.08,2767.59,9.55,41097.0,96.65,96.65,1.308738
Starling,42.44,1758258.0,14480403.0,235.79,0.0,1414.76,33695.88,415.88,107.333164896,49.0,2235.73,0.13,2695.03,10.99,41106.0,97.1,97.1,1.758258
Starling,36.93,2015667.0,19390596.0,271.29,0.0,1627.73,37901.98,432.65,88.773611288,95.0,3044.14,0.14,3436.11,12.78,41120.0,97.4,97.4,2.015667
Starling,32.65,2332990.0,17525172.0,306.43,0.0,1838.59,42059.69,437.73,160.834219622,31.0,3354.97,0.16,3836.37,14.61,41147.0,97.62,97.62,2.33299
Starling,29.29,2203959.0,15444247.0,341.57,0.0,2049.38,46174.27,415.96,179.694733074,81.0,3751.28,0.19,4292.18,16.44,41163.0,97.84,97.84,2.203959
Starling,26.54,2661366.0,22842920.0,377.03,0.0,2262.18,50344.48,415.36,209.575107647,0.0,4167.99,0.19,4771.08,18.32,41173.0,98.06,98.06,2.661366
Starling,24.25,3376835.0,21338116.0,412.65,0.0,2475.86,54491.48,439.14,249.075732721,74.0,4628.58,0.49,5255.84,20.23,41177.0,98.21,98.21,3.376835
Starling,20.7,3668865.0,26614326.0,483.29,0.0,2899.76,62693.07,437.06,300.5668154,64.0,4626.2,0.3,5319.62,24.34,41183.0,98.45,98.45,3.668865
Starling,18.07,3368671.0,29187310.0,553.87,0.0,3323.23,70818.22,419.47,249.04749175,91.0,5191.69,0.32,5776.64,27.6,41196.0,98.63,98.63,3.368671
Starling,16.02,3345273.0,44988912.0,624.49,0.0,3746.94,78914.33,426.87,271.937949724,90.0,6082.69,0.3,6623.12,31.4,41234.0,98.87,98.87,3.345273
Starling,14.4,4394173.0,36902324.0,694.81,0.0,4168.87,86975.29,441.59,478.4110045765,96.0,7323.63,0.44,8016.55,35.44,41292.0,98.94,98.94,4.394173
Starling,13.07,6037657.0,35609584.0,764.88,0.0,4589.21,94967.13,447.59,570.2411538798,19.0,8050.51,0.45,8890.67,39.04,41337.0,99.0,99.0,6.037657
Starling,11.97,6573914.0,42511820.0,835.25,0.0,5011.48102969,98.0,466.82,611.3812529363,92.0,8646.63,0.56,9481.38,48.05,41343.0,99.07,99.07,6.573914
Starling,11.05,7277667.0,35055156.0,905.38,0.0,5432.26110899,93.0,448.59,679.5713715817,54.0,9204.4,0.51,10093.76,46.91,41348.0,99.2,99.2,7.277667
Starling,10.24,7013185.0,49016400.0,976.23,0.0,5857.28118926,14.0,453.53,789.2414266048,21.0,9985.76,0.56,10870.8,50.9,41348.0,99.3,99.3,7.013185
Starling,9.56,7269659.0,41920308.0,1046.66,0.0,6280.02126849,1.0,429.2,845.171571171,36.0,10070.62,0.71,10960.79,54.91,41348.0,99.36,99.36,7.269659
Starling,8.95,6801482.0,54686320.0,1117.02,0.0,6702.09134735,61.0,445.1,788.3515456987,42.0,10749.01,0.62,11503.8,58.78,41348.0,99.44,99.44,6.801482
MARGO,166.94,5988.36,16982.0,63.83,,,,,,,,,,,41133.0,92.36,92.36,0.00598836
MARGO,141.44,7068.32,30109.0,73.33,,,,,,,,,,,41168.0,93.6,93.6,0.0070683199999999
MARGO,126.69,7890.61,20744.0,85.94,,,,,,,,,,,41193.0,94.74,94.74,0.00789061
MARGO,107.75,9277.63,22227.0,95.61,,,,,,,,,,,41203.0,95.42,95.42,0.0092776299999999
MARGO,92.88,10763.2,27323.0,111.64,,,,,,,,,,,41210.0,96.09,96.09,0.0107632
MARGO,78.32,12764.66,28861.0,127.73,,,,,,,,,,,41215.0,96.44,96.44,0.01276466
MARGO,69.62,14360.22,31128.0,143.68,,,,,,,,,,,41236.0,96.8,96.8,0.01436022
MARGO,62.66,15956.06,33501.0,159.64,,,,,,,,,,,41289.0,97.11,97.11,0.01595606
MARGO,52.05,19208.92,43065.0,192.12,,,,,,,,,,,41341.0,97.72,97.72,0.0192089199999999
MARGO,44.6,22420.72,44121.0,224.28,,,,,,,,,,,41383.0,97.91,97.91,0.02242072
MARGO,39.01,25632.37,52500.0,256.38,,,,,,,,,,,41396.0,98.11,98.11,0.0256323699999999
MARGO,31.14,32107.04,57597.0,321.14,,,,,,,,,,,41401.0,98.44,98.44,0.03210704
MARGO,25.88,38641.63,65764.0,386.41,,,,,,,,,,,41496.0,98.68,98.68,0.0386416299999999
MARGO,22.17,45109.72,86311.0,451.15,,,,,,,,,,,41662.0,98.9,98.9,0.04510972
MARGO,19.38,51607.11,86275.0,516.11,,,,,,,,,,,41750.0,99.06,99.06,0.05160711
MARGO,17.2,58122.38,99249.0,581.3,,,,,,,,,,,41744.0,99.21,99.21,0.0581223799999999
MARGO,15.48,64598.11,108663.0,646.01,,,,,,,,,,,41744.0,99.29,99.29,0.06459811
MARGO,13.45,74367.04,122006.0,743.7,,,,,,,,,,,41744.0,99.44,99.44,0.07436704
MARGO,11.45,87358.82,150461.0,873.63,,,,,,,,,,,42040.0,99.53,99.53,0.08735882
MARGO,9.96,100369.34,154727.0,1003.72,,,,,,,,,,,42375.0,99.54,99.54,0.10036934
PipeANN,558.31,56169.9,1174869.0,27.98,,,,,,,,,,,,70.05,70.05,0.0561699
PipeANN,273.27,115896.56,1699867.0,36.65,,,,,,,,,,,,84.45,84.45,0.11589656
PipeANN,218.77,145088.42,2799945.0,45.69,,,,,,,,,,,,89.41,89.41,0.14508842
PipeANN,181.95,174613.89,3174630.0,54.95,,,,,,,,,,,,91.62,91.62,0.17461389
PipeANN,155.67,203754.2,3876156.0,64.29,,,,,,,,,,,,92.68,92.68,0.2037542
PipeANN,134.84,235298.47,2970572.0,74.19,,,,,,,,,,,,93.85,93.85,0.23529847
PipeANN,119.33,266231.88,3419787.0,83.79,,,,,,,,,,,,94.44,94.44,0.26623188
PipeANN,106.88,296759.5,3824623.0,93.56,,,,,,,,,,,,95.16,95.16,0.2967595
PipeANN,96.43,329794.56,5011908.0,103.75,,,,,,,,,,,,95.95,95.95,0.32979456
PipeANN,87.96,360710.41,3974558.0,113.67,,,,,,,,,,,,96.12,96.12,0.36071041
PipeANN,81.06,391917.0,7898805.0,123.38,,,,,,,,,,,,96.51,96.51,0.391917
PipeANN,75.07,422778.78,7493927.0,133.22,,,,,,,,,,,,96.77,96.77,0.42277878
PipeANN,69.8,454910.06,8014414.0,143.28,,,,,,,,,,,,96.99,96.99,0.45491006
PipeANN,65.23,487302.41,5649446.0,153.29,,,,,,,,,,,,97.22,97.22,0.4873024099999999
PipeANN,61.44,516878.0,5424463.0,162.78,,,,,,,,,,,,97.25,97.25,0.516878
