algo,qps,mean_ltc_ns,ltc_999_ns,Graph_IO,Emb_IO,Ext_Cmp,PQ_Cmp,Pre_T,Disp_T,Read_T,Page_T,Cache_T,DiskN_T,Post_T,Mem_MB,recall_pct,recall,mean_latency_ms
DiskANN,6177.51,13600.0,27630.0,38.54,0.0,38.54,3043.15,0.22,0.01,12983.39,0.0,0.04,526.82,1.62,6070.0,26.47,26.47,0.0136
DiskANN,3292.92,26006.0,57782.0,80.39,0.0,80.39,5921.51,0.01,0.2,24824.05,0.0,0.02,1071.59,3.33,6085.0,53.15,53.15,0.026006
DiskANN,2280.83,37540.0,88571.0,130.67,0.0,130.67,9376.14,0.0,0.26,35432.72,0.0,0.21,1931.24,5.08,6104.0,65.75,65.75,0.03754
DiskANN,1334.55,61076.0,118316.0,230.31,0.0,230.31,16230.2,0.01,1.14,56979.39,0.0,0.08,3796.29,9.14,6140.0,76.85,76.85,0.061076
DiskANN,743.33,42033.0,69792.0,253.0,0.0,253.0,17809.01,0.5,0.25,26864.88,0.0,0.02,13082.39,9.4,5826.0,77.73,77.73,0.042033
DiskANN,631.89,49316.0,91664.0,301.0,0.0,301.0,21125.43,0.55,0.35,30436.11,0.0,0.0,16774.18,11.49,5829.0,80.41,80.41,0.049316
DiskANN,628.86,136672.0,246369.0,529.19,0.0,529.19,36829.75,0.06,9.39126665,84.0,0.0,0.21,9282.05,22.32,6230.0,87.22,87.22,0.136672
DiskANN,434.23,196786.0,311567.0,778.09,0.0,778.09,54021.7,0.09,33.22182314,11.0,0.0,0.32,13293.32,33.59,6270.0,90.43,90.43,0.196786
DiskANN,335.44,259100.0,446735.0,1027.79,0.0,1027.79,71271.45,0.09,82.4023875,89.0,0.0,0.36,18688.59,47.08,6334.0,92.06,92.06,0.2591
DiskANN,231.43,371832.0,559539.0,1526.72,0.0,1526.72105856,82.0,0.24,590.62342598,76.0,0.0,0.73,26381.93,74.63,6463.0,94.02,94.02,0.371832
DiskANN,173.85,499804.0,1025937.0,2029.32,0.0,2029.32140725,92.0,0.1,1329.57457408,75.0,0.0,0.79,38005.19,100.6,6503.0,95.27,95.27,0.499804
DiskANN,137.06,630504.0,1135047.0,2527.75,0.0,2527.75175311,66.0,0.08,2416.42574917,8.0,0.0,1.0,49363.93,127.65,6705.0,96.05,96.05,0.630504
DiskANN,86.26,1003635.0,1336189.0,4024.66,0.0,4024.66279477,6.0,0.16,7587.54909663,36.0,0.0,1.67,80427.23,215.78,6881.0,97.25,97.25,1.003635
Gorgeous,12359.5,6710.0,19564.0,23.19,0.83,24.02,1480.82,87.53,3.99,5943.14,0.0,10.12,183.16,413.84,5010.0,27.32,27.32,0.00671
Gorgeous,4246.87,20308.0,68508.0,59.42,1.63,61.04,3618.92,93.59,10.01,18735.75,0.0,30.53,525.9,792.27,5032.0,51.28,51.28,0.020308
Gorgeous,2452.76,34920.0,88932.0,101.78,3.5,105.28,5839.05,97.27,18.97,32585.67,0.0,56.06,837.42,1136.42,5055.0,62.45,62.45,0.03492
Gorgeous,1386.86,62635.0,129146.0,184.19,8.2,192.39,9808.1,102.69,40.69,59122.84,0.0,109.92,1448.71,1488.87,5096.0,72.9,72.9,0.062635
