algo,qps,mean_ltc_ns,ltc_999_ns,Graph_IO,Emb_IO,Ext_Cmp,PQ_Cmp,Pre_T,Disp_T,Read_T,Page_T,Cache_T,DiskN_T,Post_T,Mem_MB,recall_pct,recall,mean_latency_ms
DiskANN,13299.27,2330.0,5351.0,38.54,0.0,38.54,3043.15,0.05,0.03,1877.81,0.0,0.0,396.59,1.36,5314.0,26.47,26.47,0.00233
DiskANN,11957.9,2614.0,4766.0,50.25,0.0,50.25,3853.39,0.0,0.02,2108.01,0.0,0.01,436.42,1.86,5315.0,37.39,37.39,0.002614
DiskANN,10456.97,2992.0,6947.0,60.73,0.0,60.73,4575.38,0.01,0.03,2397.55,0.0,0.01,514.15,2.2,5316.0,44.67,44.67,0.002992
DiskANN,9306.73,3363.0,7693.0,70.44,0.0,70.44,5238.95,0.0,0.1,2688.55,0.0,0.03,583.98,2.41,5319.0,49.11,49.11,0.003363
DiskANN,8229.78,3801.0,8704.0,80.39,0.0,80.39,5921.51,0.01,0.11,3042.34,0.0,0.03,657.21,2.83,5323.0,53.15,53.15,0.003801
DiskANN,5250.36,5981.0,12649.0,130.67,0.0,130.67,9376.14,0.02,0.29,4765.92,0.0,0.07,1058.47,4.57,5330.0,65.75,65.75,0.005981
DiskANN,2955.98,10550.0,21340.0,230.31,0.0,230.31,16230.2,0.02,1.08,8189.17,0.0,0.1,2076.45,8.43,5349.0,76.85,76.85,0.01055
DiskANN,1282.58,24558.0,42839.0,529.19,0.0,529.19,36829.75,0.02,4.9,18376.88,0.0,0.3,5491.77,21.19,5380.0,87.22,87.22,0.024558
DiskANN,855.51,36707.0,66308.0,778.09,0.0,778.09,54021.7,0.01,25.44,26779.57,0.0,0.61,8839.23,32.71,5394.0,90.43,90.43,0.036707
DiskANN,632.38,49543.0,80447.0,1027.79,0.0,1027.79,71271.45,0.02,63.11,35100.94,0.0,0.58,12866.09,44.85,5434.0,92.06,92.06,0.049543
DiskANN,431.26,73193.0,124977.0,1526.72,0.0,1526.72105856,82.0,0.03,367.62,51933.74,0.0,0.83,18629.73,78.07,5466.0,94.02,94.02,0.073193
DiskANN,314.97,100072.0,178208.0,2029.32,0.0,2029.32140725,92.0,0.03,1074.0,68272.12,0.0,1.21,27818.19,98.53,5490.0,95.27,95.27,0.100072
DiskANN,253.02,124503.0,202957.0,2527.75,0.0,2527.75175311,66.0,0.03,1711.36,84153.89,0.0,1.33,34803.52,124.97,5586.0,96.05,96.05,0.124503
DiskANN,157.64,200021.0,278633.0,4024.66,0.0,4024.66279477,6.0,0.07,5801.27133451,65.0,0.0,2.11,55017.05,208.56,5618.0,97.25,97.25,0.200021
DiskANN,100.5,313852.0,541278.0,6029.5,0.0,6029.50419311,71.0,0.23,14415.5219561,56.0,0.0,12.48,95030.43,319.17,5906.0,98.03,98.03,0.313852
Gorgeous,25615.81,1205.0,3179.0,23.8,0.79,24.59,1522.89,71.99,0.97,805.91,0.0,10.0,180.89,81.72,4992.0,27.86,27.860000000000003,0.001205
Gorgeous,21018.33,1468.0,4096.0,29.5,0.79,30.3,1858.97,87.9,0.68,979.04,0.0,12.72,229.68,89.65,4993.0,33.14,33.14,0.001468
Gorgeous,18822.51,1650.0,5123.0,34.02,0.77,34.79,2115.3,86.39,0.64,1123.72,0.0,14.81,255.32,93.17,4993.0,37.09,37.09,0.00165
Gorgeous,15395.09,2016.0,5299.0,42.81,0.96,43.78,2624.75,86.64,0.72,1395.93,0.0,18.47,311.69,111.49,4993.0,42.72,42.72,0.002016
Gorgeous,12994.76,2407.0,6610.0,51.66,1.28,52.94,3153.04,87.78,1.08,1678.88,0.0,23.03,377.98,130.68,4994.0,47.88,47.88,0.002407
Gorgeous,11244.24,2778.0,7241.0,60.16,1.65,61.81,3661.54,89.48,1.29,1951.7,0.0,27.01,437.62,149.81,4995.0,51.07,51.07000000000001,0.002778
Gorgeous,6786.52,4641.0,9789.0,102.08,3.51,105.59,5866.32,94.57,4.02,3336.71,0.0,52.15,737.76,220.52,5003.0,62.6,62.6,0.004641
Gorgeous,3755.31,8365.0,17577.0,185.14,8.23,193.37,9852.6,98.59,13.77,6250.6,0.0,101.4,1251.51,317.11,5030.0,72.9,72.9,0.008365
Gorgeous,1607.93,19488.0,43064.0,425.82,25.69,451.52,20588.21,103.43,74.27,14939.2,0.0,264.31,2787.39,585.67,5093.0,83.36,83.36,0.019488
Gorgeous,1101.52,28669.0,57823.0,620.29,42.54,662.83,28679.08,105.8,136.52,22286.99,0.0,400.31,3929.56,767.53,5122.0,87.02,87.02,0.028669
Gorgeous,839.47,37618.0,78448.0,812.19,60.77,872.96,36335.62,111.21,223.34,28776.37,0.0,604.4,5567.29,957.99,5176.0,89.05,89.05,0.037618
Gorgeous,562.26,56207.0,90978.0,1189.79,99.99,1289.78,50901.42,118.86,470.92,42019.58,0.0,1097.43,9155.06,1324.8,5209.0,91.28,91.28,0.056207
Gorgeous,421.3,74955.0,152232.0,1562.58,142.4,1704.98,65373.76,178.26,768.99,57523.62,0.0,1382.92,10763.28,1660.5,5237.0,92.69,92.69,0.074955
Gorgeous,343.22,92055.0,160085.0,1931.9,186.82,2118.72,79683.28,124.89,1115.1,70972.98,0.0,1705.25,12620.57,2095.61,5293.0,93.84,93.84,0.092055
Gorgeous,214.87,146679.0,259584.0,3014.26,327.87,3342.13121154,57.0,127.81,2539.7410905,29.0,0.0,3675.56,22632.12,3323.08,5324.0,95.89,95.89,0.146679
Gorgeous,142.89,220396.0,403164.0,4425.53,530.35,4955.88173744,50.0,178.94,5347.52162979,1.0,0.0,5615.87,33091.31,5230.96,5508.0,96.95,96.95,0.220396
Gorgeous,107.15,294353.0,442796.0,5809.38,742.45,6551.8322405,93.0,135.6,9113.03210304,18.0,0.0,8655.93,48853.19,6860.24,5524.0,97.61,97.61,0.294353
Gorgeous,85.16,370012.0,488287.0,7175.82,962.33,8138.15272573,8.0,193.19,13910.19259555,54.0,0.0,11407.36,63724.27,8320.04,5623.0,97.96,97.96,0.370012
MARGO,26165.95,1117.29,4149.0,21.81,,,,,,,,,,,7079.0,32.63,32.63,0.00111729
MARGO,21876.26,1327.78,4116.0,30.98,,,,,,,,,,,7084.0,35.97,35.97,0.00132778
MARGO,18024.96,1523.19,4686.0,31.35,,,,,,,,,,,7137.0,42.71,42.71,0.00152319
MARGO,15426.19,1773.56,4927.0,41.32,,,,,,,,,,,7141.0,45.57,45.57,0.00177356
MARGO,15048.86,1857.32,4922.0,40.09,,,,,,,,,,,7137.0,49.37,49.37,0.00185732
MARGO,13694.11,2010.76,6130.0,50.05,,,,,,,,,,,7141.0,51.45,51.45000000000001,0.00201076
MARGO,12626.24,2192.03,6884.0,48.96,,,,,,,,,,,7137.0,54.52,54.52,0.00219203
MARGO,12021.75,2257.19,6262.0,58.49,,,,,,,,,,,7141.0,56.23,56.23,0.00225719
MARGO,11685.1,2447.14,8448.0,57.84,,,,,,,,,,,7100.0,58.39,58.39,0.00244714
MARGO,11439.42,2448.96,10001.0,67.2,,,,,,,,,,,7109.0,59.61,59.61,0.00244896
MARGO,7423.68,3827.35,12676.0,110.75,,,,,,,,,,,7133.0,70.6,70.6,0.0038273499999999
MARGO,4440.97,6464.82,19617.0,198.64,,,,,,,,,,,7181.0,80.04,80.04,0.00646482
MARGO,3187.92,9020.73,27584.0,285.93,,,,,,,,,,,7201.0,84.54,84.54,0.00902073
MARGO,2877.07,10044.25,24793.0,328.84,,,,,,,,,,,7217.0,86.13,86.13,0.01004425
MARGO,2506.89,11561.16,45098.0,371.83,,,,,,,,,,,7249.0,87.42,87.42,0.01156116
MARGO,2230.73,12989.04,31620.0,414.93,,,,,,,,,,,7281.0,88.32,88.32,0.01298904
MARGO,2058.85,14124.82,42871.0,457.27,,,,,,,,,,,7289.0,89.13,89.13,0.01412482
MARGO,1409.6,20717.78,57334.0,670.75,,,,,,,,,,,7369.0,92.28,92.28,0.0207177799999999
MARGO,1056.46,27831.42,69477.0,881.02,,,,,,,,,,,7417.0,93.95,93.95,0.02783142
MARGO,693.9,42396.69,91127.0,1291.9,,,,,,,,,,,7627.0,95.69,95.69,0.04239669
MARGO,502.63,59141.35,145662.0,1700.83,,,,,,,,,,,7737.0,96.68,96.68,0.0591413499999999
MARGO,378.98,79053.35,175499.0,2105.81,,,,,,,,,,,7947.0,97.37,97.37,0.07905335
MARGO,182.33,165627.3,295665.0,3291.56,,,,,,,,,,,8267.0,98.15,98.15,0.1656272999999999
MARGO,89.02,345160.76,638265.0,4850.49,,,,,,,,,,,8843.0,98.88,98.88,0.34516076
MARGO,51.5,598726.81,898049.0,6383.46,,,,,,,,,,,9547.0,99.17,99.17,0.59872681
MARGO,31.93,969865.55,1310112.0,7899.07,,,,,,,,,,,9547.0,99.36,99.36,0.96986555
Starling,27373.22,1134.0,3270.0,22.31,0.0,66.92,1346.68,65.01,0.93,839.06,1.83,0.0,172.48,2.13,7064.0,28.02,28.02,0.001134
Starling,23041.99,1359.0,4145.0,27.76,0.0,83.27,1644.11,62.64,0.92,1024.76,2.34,0.01,206.35,2.63,7064.0,34.23,34.23,0.001359
Starling,19806.89,1577.0,4386.0,32.98,0.0,98.94,1918.95,62.57,1.02,1201.91,2.71,0.03,238.16,3.2,7065.0,39.57,39.57,0.001577
Starling,15837.92,1975.0,6197.0,42.39,0.0,127.17,2390.26,63.49,1.09,1532.94,3.07,0.01,285.75,4.21,7065.0,46.03,46.03,0.001975
Starling,13220.59,2366.0,6078.0,51.72,0.0,155.16,2848.91,63.97,1.48,1860.3,3.46,0.05,332.28,5.2,7066.0,51.32,51.32,0.002366
Starling,11346.54,2773.0,6487.0,60.99,0.0,182.97,3283.98,65.64,1.83,2196.47,3.71,0.02,384.73,6.24,7068.0,54.84,54.84,0.002773
Starling,6398.57,4891.0,10906.0,106.87,0.0,320.62,5360.76,68.74,6.89,3953.52,6.53,0.04,647.66,11.73,7079.0,67.14,67.14,0.004891
