algo,qps,mean_ltc_ns,ltc_999_ns,Graph_IO,Emb_IO,Ext_Cmp,PQ_Cmp,Pre_T,Disp_T,Read_T,Page_T,Cache_T,DiskN_T,Post_T,Mem_MB,recall_pct,recall,mean_latency_ms
DiskANN,351.91,90339.0,450708.0,38.54,0.0,38.54,3043.15,0.03,0.02,89812.56,0.0,0.01,468.26,1.36,5314.0,26.47,26.47,0.090339
DiskANN,223.95,139983.0,650780.0,44.61,0.0,44.61,3464.41,0.0,0.02139312,61.0,0.0,0.0,603.7,1.66,5314.0,32.94,32.94,0.139983
DiskANN,199.13,158388.0,675671.0,50.25,0.0,50.25,3853.39,0.0,0.02157692,46.0,0.0,0.0,623.57,1.96,5314.0,37.39,37.39,0.158388
DiskANN,164.69,190392.0,902922.0,60.73,0.0,60.73,4575.38,0.0,0.05189565,29.0,0.0,0.03,744.43,2.28,5314.0,44.67,44.67,0.190392
DiskANN,142.1,222244.0,1249869.0,70.44,0.0,70.44,5238.95,0.0,0.06221249,89.0,0.0,0.0,902.37,2.61,5316.0,49.11,49.11,0.222244
DiskANN,124.54,251465.0,1199570.0,80.39,0.0,80.39,5921.51,0.0,0.11250342,32.0,0.0,0.03,1018.09,3.0,5319.0,53.15,53.15,0.251465
DiskANN,76.6,409061.0,5284880.0,130.67,0.0,130.67,9376.14,0.02,0.18406889,28.0,0.0,0.07,2013.84,4.87,5327.0,65.75,65.75,0.409061
DiskANN,43.4,656627.0,13700842.0,230.31,0.0,230.31,16230.2,0.0,0.67652624,13.0,0.0,0.16,3727.9,8.68,5339.0,76.85,76.85,0.656627
DiskANN,18.89,1677100.0,12890706.0,529.19,0.0,529.19,36829.75,0.0,9.061667769,39.0,0.0,0.2,8644.09,21.26,5382.0,87.22,87.22,1.6771
DiskANN,12.85,2214998.0,29159882.0,778.09,0.0,778.09,54021.7,0.02,18.1722001,64.0,0.0,0.2,13827.43,32.56,5390.0,90.43,90.43,2.214998
DiskANN,9.73,3178480.0,30550932.0,1027.79,0.0,1027.79,71271.45,0.01,40.063160181,26.0,0.0,0.31,16762.88,44.77,5434.0,92.06,92.06,3.17848
DiskANN,6.55,4513855.0,37097384.0,1526.72,0.0,1526.72105856,82.0,0.01,482.964484853,23.0,0.0,0.33,26333.79,71.82,5458.0,94.02,94.02,4.513855
DiskANN,4.93,6408186.0,49569704.0,2029.32,0.0,2029.32140725,92.0,0.04,1097.416368154,71.0,0.0,0.44,36075.34,97.95,5498.0,95.27,95.27,6.408186
DiskANN,3.96,8026488.0,54532680.0,2527.75,0.0,2527.75175311,66.0,0.06,1941.117978075,29.0,0.0,0.49,42851.18,124.54,5578.0,96.05,96.05,8.026488
DiskANN,2.48,12833101.0,85474680.0,4024.66,0.0,4024.66279477,6.0,0.08,6330.8912747944,74.0,0.0,0.74,73214.08,204.89,5610.0,97.25,97.25,12.833101
Gorgeous,105.06,305986.0,4549715.0,101.87,3.51,105.38,5846.13,74.58,2.15294794,3.0,0.0,57.22,849.01,10037.07,5021.0,62.22,62.22,0.305986
Gorgeous,51.95,596257.0,13092495.0,184.45,8.18,192.64,9810.23,82.55,5.94583248,20.0,0.0,124.53,1448.05,11047.87,5036.0,73.04,73.04,0.596257
Gorgeous,22.15,1285033.0,15648583.0,426.17,25.64,451.81,20592.51,90.46,43.261265419,78.0,0.0,325.47,3368.07,15093.93,5095.0,83.61,83.61,1.285033
Gorgeous,11.46,2761943.0,23402652.0,812.62,60.74,873.37,36360.25,111.79,225.64272335,3.0,0.0,708.38,6689.45,29529.68,5183.0,88.99,88.99,2.761943
